65, [s0.0-b.b, s0.0-b.g, s0.0-g.b, s0.0-g.g, s0.1-b.b, s0.1-b.g, s0.1-g.b, s0.1-g.g, s0.2-b.b, s0.2-b.g, s0.2-g.b, s0.2-g.g, s0.3-b.b, s0.3-b.g, s0.3-g.b, s0.3-g.g, s1.0-b.b, s1.0-b.g, s1.0-g.b, s1.0-g.g, s1.1-b.b, s1.1-b.g, s1.1-g.b, s1.1-g.g, s1.2-b.b, s1.2-b.g, s1.2-g.b, s1.2-g.g, s1.3-b.b, s1.3-b.g, s1.3-g.b, s1.3-g.g, s2.0-b.b, s2.0-b.g, s2.0-g.b, s2.0-g.g, s2.1-b.b, s2.1-b.g, s2.1-g.b, s2.1-g.g, s2.2-b.b, s2.2-b.g, s2.2-g.b, s2.2-g.g, s2.3-b.b, s2.3-b.g, s2.3-g.b, s2.3-g.g, s3.0-b.b, s3.0-b.g, s3.0-g.b, s3.0-g.g, s3.1-b.b, s3.1-b.g, s3.1-g.b, s3.1-g.g, s3.2-b.b, s3.2-b.g, s3.2-g.b, s3.2-g.g, s3.3-b.b, s3.3-b.g, s3.3-g.b, s3.3-g.g, exit]
3, [e-ggb, e-gbg, e-bgg]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

126, [pt_0.0, pt_0.1, pt_1.0, pt_1.1, pt_2.0, pt_2.1, po_0.00_0, po_0.00_1, po_0.00_2, po_0.00_3, po_0.00_4, po_0.00_5, po_0.00_6, po_0.00_7, po_0.00_8, po_0.01_0, po_0.01_1, po_0.01_2, po_0.01_3, po_0.01_4, po_0.01_5, po_0.01_6, po_0.01_7, po_0.01_8, po_0.10_0, po_0.10_1, po_0.10_2, po_0.10_3, po_0.10_4, po_0.10_5, po_0.10_6, po_0.10_7, po_0.10_8, po_0.11_0, po_0.11_1, po_0.11_2, po_0.11_3, po_0.11_4, po_0.11_5, po_0.11_6, po_0.11_7, po_0.11_8, po_1.00_0, po_1.00_1, po_1.00_2, po_1.00_3, po_1.00_4, po_1.00_5, po_1.00_6, po_1.00_7, po_1.00_8, po_1.01_0, po_1.01_1, po_1.01_2, po_1.01_3, po_1.01_4, po_1.01_5, po_1.01_6, po_1.01_7, po_1.01_8, po_1.10_0, po_1.10_1, po_1.10_2, po_1.10_3, po_1.10_4, po_1.10_5, po_1.10_6, po_1.10_7, po_1.10_8, po_1.11_0, po_1.11_1, po_1.11_2, po_1.11_3, po_1.11_4, po_1.11_5, po_1.11_6, po_1.11_7, po_1.11_8, po_2.00_0, po_2.00_1, po_2.00_2, po_2.00_3, po_2.00_4, po_2.00_5, po_2.00_6, po_2.00_7, po_2.00_8, po_2.01_0, po_2.01_1, po_2.01_2, po_2.01_3, po_2.01_4, po_2.01_5, po_2.01_6, po_2.01_7, po_2.01_8, po_2.10_0, po_2.10_1, po_2.10_2, po_2.10_3, po_2.10_4, po_2.10_5, po_2.10_6, po_2.10_7, po_2.10_8, po_2.11_0, po_2.11_1, po_2.11_2, po_2.11_3, po_2.11_4, po_2.11_5, po_2.11_6, po_2.11_7, po_2.11_8, r_0.00, r_0.01, r_0.10, r_0.11, r_1.00, r_1.01, r_1.10, r_1.11, r_2.00, r_2.01, r_2.10, r_2.11]
[1, 0, 0, 1, 0, 0, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, -10, -10, 10, 10, -10, 10, -10, 10, -10, -10, -10, -10]
[1, 0, 0, 0, 0, 1, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, -10, -10, 10, 10, -10, -10, -10, -10, -10, 10, -10, 10]
[0, 0, 1, 0, 0, 1, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, -10, -10, -10, -10, -10, -10, 10, 10, -10, 10, -10, 10]

# Transition function (s,a,s -> p)
47,2,64 -> 1
47,3,43 -> 1
44,4,44 -> 1
45,4,44 -> pt_1.1
45,4,45 -> 1-pt_1.1
46,4,44 -> pt_1.0
46,4,46 -> 1-pt_1.0
47,4,45 -> pt_1.0
47,4,44 -> pt_1.1
47,4,47 -> 1-pt_1.0-pt_1.1
44,5,44 -> 1
45,5,45 -> 1
46,5,46 -> 1
47,5,47 -> 1
44,6,44 -> 1
45,6,45 -> 1
46,6,46 -> 1
47,6,47 -> 1
44,7,44 -> 1
45,7,45 -> 1
46,7,46 -> 1
47,7,47 -> 1
48,0,48 -> 1
48,1,32 -> 1
48,2,52 -> 1
48,3,48 -> 1
49,0,49 -> 1
49,1,33 -> 1
49,2,53 -> 1
49,3,49 -> 1
50,0,50 -> 1
50,1,34 -> 1
50,2,54 -> 1
50,3,50 -> 1
51,0,51 -> 1
51,1,35 -> 1
51,2,55 -> 1
51,3,51 -> 1
48,5,48 -> 1
49,5,49 -> 1
50,5,50 -> 1
51,5,51 -> 1
48,6,48 -> 1
49,6,49 -> 1
50,6,50 -> 1
51,6,51 -> 1
48,7,48 -> 1
49,7,49 -> 1
50,7,50 -> 1
51,7,51 -> 1
52,0,52 -> 1
52,1,36 -> 1
52,2,56 -> 1
52,3,48 -> 1
53,0,53 -> 1
53,1,37 -> 1
53,2,57 -> 1
53,3,49 -> 1
54,0,54 -> 1
54,1,38 -> 1
54,2,58 -> 1
54,3,50 -> 1
55,0,55 -> 1
55,1,39 -> 1
55,2,59 -> 1
55,3,51 -> 1
52,5,52 -> 1
53,5,53 -> 1
54,5,54 -> 1
55,5,55 -> 1
52,6,52 -> 1
53,6,53 -> 1
54,6,54 -> 1
55,6,55 -> 1
52,7,52 -> 1
53,7,53 -> 1
54,7,54 -> 1
55,7,55 -> 1
56,0,56 -> 1
56,1,40 -> 1
56,2,60 -> 1
56,3,52 -> 1
57,0,57 -> 1
57,1,41 -> 1
57,2,61 -> 1
57,3,53 -> 1
58,0,58 -> 1
58,1,42 -> 1
58,2,62 -> 1
58,3,54 -> 1
59,0,59 -> 1
59,1,43 -> 1
59,2,63 -> 1
59,3,55 -> 1
56,4,56 -> 1
57,4,56 -> pt_2.1
57,4,57 -> 1-pt_2.1
58,4,56 -> pt_2.0
58,4,58 -> 1-pt_2.0
59,4,57 -> pt_2.0
59,4,56 -> pt_2.1
59,4,59 -> 1-pt_2.0-pt_2.1
56,5,56 -> 1
57,5,57 -> 1
58,5,58 -> 1
59,5,59 -> 1
56,6,56 -> 1
57,6,57 -> 1
58,6,58 -> 1
59,6,59 -> 1
56,7,56 -> 1
57,7,57 -> 1
58,7,58 -> 1
59,7,59 -> 1
60,0,60 -> 1
60,1,44 -> 1
60,2,64 -> 1
60,3,56 -> 1
61,0,61 -> 1
61,1,45 -> 1
61,2,64 -> 1
61,3,57 -> 1
62,0,62 -> 1
62,1,46 -> 1
62,2,64 -> 1
62,3,58 -> 1
63,0,63 -> 1
63,1,47 -> 1
63,2,64 -> 1
63,3,59 -> 1
60,5,60 -> 1
61,5,61 -> 1
62,5,62 -> 1
63,5,63 -> 1
60,6,60 -> 1
61,6,61 -> 1
62,6,62 -> 1
63,6,63 -> 1
60,7,60 -> 1
61,7,61 -> 1
62,7,62 -> 1
63,7,63 -> 1
64,_,64 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
0,16,2 -> 1
0,17,2 -> 1
0,18,2 -> 1
0,19,2 -> 1
0,20,2 -> 1
0,21,2 -> 1
0,22,2 -> 1
0,23,2 -> 1
0,24,2 -> 1
0,25,2 -> 1
0,26,2 -> 1
0,27,2 -> 1
0,28,2 -> 1
0,29,2 -> 1
0,30,2 -> 1
0,31,2 -> 1
0,32,2 -> 1
0,33,2 -> 1
0,34,2 -> 1
0,35,2 -> 1
0,36,2 -> 1
0,37,2 -> 1
0,38,2 -> 1
0,39,2 -> 1
0,40,2 -> 1
0,41,2 -> 1
0,42,2 -> 1
0,43,2 -> 1
0,44,2 -> 1
0,45,2 -> 1
0,46,2 -> 1
0,47,2 -> 1
0,48,2 -> 1
0,49,2 -> 1
0,50,2 -> 1
0,51,2 -> 1
0,52,2 -> 1
0,53,2 -> 1
0,54,2 -> 1
0,55,2 -> 1
0,56,2 -> 1
0,57,2 -> 1
0,58,2 -> 1
0,59,2 -> 1
0,60,2 -> 1
0,61,2 -> 1
0,62,2 -> 1
0,63,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
1,16,2 -> 1
1,17,2 -> 1
1,18,2 -> 1
1,19,2 -> 1
1,20,2 -> 1
1,21,2 -> 1
1,22,2 -> 1
1,23,2 -> 1
1,24,2 -> 1
1,25,2 -> 1
1,26,2 -> 1
1,27,2 -> 1
1,28,2 -> 1
1,29,2 -> 1
1,30,2 -> 1
1,31,2 -> 1
1,32,2 -> 1
1,33,2 -> 1
1,34,2 -> 1
1,35,2 -> 1
1,36,2 -> 1
1,37,2 -> 1
1,38,2 -> 1
1,39,2 -> 1
1,40,2 -> 1
1,41,2 -> 1
1,42,2 -> 1
1,43,2 -> 1
1,44,2 -> 1
1,45,2 -> 1
1,46,2 -> 1
1,47,2 -> 1
1,48,2 -> 1
1,49,2 -> 1
1,50,2 -> 1
1,51,2 -> 1
1,52,2 -> 1
1,53,2 -> 1
1,54,2 -> 1
1,55,2 -> 1
1,56,2 -> 1
1,57,2 -> 1
1,58,2 -> 1
1,59,2 -> 1
1,60,2 -> 1
1,61,2 -> 1
1,62,2 -> 1
1,63,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
2,16,2 -> 1
2,17,2 -> 1
2,18,2 -> 1
2,19,2 -> 1
2,20,2 -> 1
2,21,2 -> 1
2,22,2 -> 1
2,23,2 -> 1
2,24,2 -> 1
2,25,2 -> 1
2,26,2 -> 1
2,27,2 -> 1
2,28,2 -> 1
2,29,2 -> 1
2,30,2 -> 1
2,31,2 -> 1
2,32,2 -> 1
2,33,2 -> 1
2,34,2 -> 1
2,35,2 -> 1
2,36,2 -> 1
2,37,2 -> 1
2,38,2 -> 1
2,39,2 -> 1
2,40,2 -> 1
2,41,2 -> 1
2,42,2 -> 1
2,43,2 -> 1
2,44,2 -> 1
2,45,2 -> 1
2,46,2 -> 1
2,47,2 -> 1
2,48,2 -> 1
2,49,2 -> 1
2,50,2 -> 1
2,51,2 -> 1
2,52,2 -> 1
2,53,2 -> 1
2,54,2 -> 1
2,55,2 -> 1
2,56,2 -> 1
2,57,2 -> 1
2,58,2 -> 1
2,59,2 -> 1
2,60,2 -> 1
2,61,2 -> 1
2,62,2 -> 1
2,63,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
3,16,2 -> 1
3,17,2 -> 1
3,18,2 -> 1
3,19,2 -> 1
3,20,2 -> 1
3,21,2 -> 1
3,22,2 -> 1
3,23,2 -> 1
3,24,2 -> 1
3,25,2 -> 1
3,26,2 -> 1
3,27,2 -> 1
3,28,2 -> 1
3,29,2 -> 1
3,30,2 -> 1
3,31,2 -> 1
3,32,2 -> 1
3,33,2 -> 1
3,34,2 -> 1
3,35,2 -> 1
3,36,2 -> 1
3,37,2 -> 1
3,38,2 -> 1
3,39,2 -> 1
3,40,2 -> 1
3,41,2 -> 1
3,42,2 -> 1
3,43,2 -> 1
3,44,2 -> 1
3,45,2 -> 1
3,46,2 -> 1
3,47,2 -> 1
3,48,2 -> 1
3,49,2 -> 1
3,50,2 -> 1
3,51,2 -> 1
3,52,2 -> 1
3,53,2 -> 1
3,54,2 -> 1
3,55,2 -> 1
3,56,2 -> 1
3,57,2 -> 1
3,58,2 -> 1
3,59,2 -> 1
3,60,2 -> 1
3,61,2 -> 1
3,62,2 -> 1
3,63,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
4,32,2 -> 1
4,33,2 -> 1
4,34,2 -> 1
4,35,2 -> 1
4,36,2 -> 1
4,37,2 -> 1
4,38,2 -> 1
4,39,2 -> 1
4,40,2 -> 1
4,41,2 -> 1
4,42,2 -> 1
4,43,2 -> 1
4,44,2 -> 1
4,45,2 -> 1
4,46,2 -> 1
4,47,2 -> 1
4,48,2 -> 1
4,49,2 -> 1
4,50,2 -> 1
4,51,2 -> 1
4,52,2 -> 1
4,53,2 -> 1
4,54,2 -> 1
4,55,2 -> 1
4,56,2 -> 1
4,57,2 -> 1
4,58,2 -> 1
4,59,2 -> 1
4,60,2 -> 1
4,61,2 -> 1
4,62,2 -> 1
4,63,2 -> 1
5,0,1 -> po_0.00_0
5,0,0 -> 1-po_0.00_0
5,1,1 -> po_0.01_0
5,1,0 -> 1-po_0.01_0
5,2,1 -> po_0.10_0
5,2,0 -> 1-po_0.10_0
5,3,1 -> po_0.11_0
5,3,0 -> 1-po_0.11_0
5,4,1 -> po_0.00_1
5,4,0 -> 1-po_0.00_1
5,5,1 -> po_0.01_1
5,5,0 -> 1-po_0.01_1
5,6,1 -> po_0.10_1
5,6,0 -> 1-po_0.10_1
5,7,1 -> po_0.11_1
5,7,0 -> 1-po_0.11_1
5,8,1 -> po_0.00_0
5,8,0 -> 1-po_0.00_0
5,9,1 -> po_0.01_0
5,9,0 -> 1-po_0.01_0
5,10,1 -> po_0.10_0
5,10,0 -> 1-po_0.10_0
5,11,1 -> po_0.11_0
5,11,0 -> 1-po_0.11_0
5,12,1 -> po_0.00_2
5,12,0 -> 1-po_0.00_2
5,13,1 -> po_0.01_2
5,13,0 -> 1-po_0.01_2
5,14,1 -> po_0.10_2
5,14,0 -> 1-po_0.10_2
5,15,1 -> po_0.11_2
5,15,0 -> 1-po_0.11_2
5,16,1 -> po_0.00_1
5,16,0 -> 1-po_0.00_1
5,17,1 -> po_0.01_1
5,17,0 -> 1-po_0.01_1
5,18,1 -> po_0.10_1
5,18,0 -> 1-po_0.10_1
5,19,1 -> po_0.11_1
5,19,0 -> 1-po_0.11_1
5,20,1 -> po_0.00_3
5,20,0 -> 1-po_0.00_3
5,21,1 -> po_0.01_3
5,21,0 -> 1-po_0.01_3
5,22,1 -> po_0.10_3
5,22,0 -> 1-po_0.10_3
5,23,1 -> po_0.11_3
5,23,0 -> 1-po_0.11_3
5,24,1 -> po_0.00_1
5,24,0 -> 1-po_0.00_1
5,25,1 -> po_0.01_1
5,25,0 -> 1-po_0.01_1
5,26,1 -> po_0.10_1
5,26,0 -> 1-po_0.10_1
5,27,1 -> po_0.11_1
5,27,0 -> 1-po_0.11_1
5,28,1 -> po_0.00_4
5,28,0 -> 1-po_0.00_4
5,29,1 -> po_0.01_4
5,29,0 -> 1-po_0.01_4
5,30,1 -> po_0.10_4
5,30,0 -> 1-po_0.10_4
5,31,1 -> po_0.11_4
5,31,0 -> 1-po_0.11_4
5,32,1 -> po_0.00_0
5,32,0 -> 1-po_0.00_0
5,33,1 -> po_0.01_0
5,33,0 -> 1-po_0.01_0
5,34,1 -> po_0.10_0
5,34,0 -> 1-po_0.10_0
5,35,1 -> po_0.11_0
5,35,0 -> 1-po_0.11_0
5,36,1 -> po_0.00_1
5,36,0 -> 1-po_0.00_1
5,37,1 -> po_0.01_1
5,37,0 -> 1-po_0.01_1
5,38,1 -> po_0.10_1
5,38,0 -> 1-po_0.10_1
5,39,1 -> po_0.11_1
5,39,0 -> 1-po_0.11_1
5,40,1 -> po_0.00_0
5,40,0 -> 1-po_0.00_0
5,41,1 -> po_0.01_0
5,41,0 -> 1-po_0.01_0
5,42,1 -> po_0.10_0
5,42,0 -> 1-po_0.10_0
5,43,1 -> po_0.11_0
5,43,0 -> 1-po_0.11_0
5,44,1 -> po_0.00_2
5,44,0 -> 1-po_0.00_2
5,45,1 -> po_0.01_2
5,45,0 -> 1-po_0.01_2
5,46,1 -> po_0.10_2
5,46,0 -> 1-po_0.10_2
5,47,1 -> po_0.11_2
5,47,0 -> 1-po_0.11_2
5,48,1 -> po_0.00_2
5,48,0 -> 1-po_0.00_2
5,49,1 -> po_0.01_2
5,49,0 -> 1-po_0.01_2
5,50,1 -> po_0.10_2
5,50,0 -> 1-po_0.10_2
5,51,1 -> po_0.11_2
5,51,0 -> 1-po_0.11_2
5,52,1 -> po_0.00_4
5,52,0 -> 1-po_0.00_4
5,53,1 -> po_0.01_4
5,53,0 -> 1-po_0.01_4
5,54,1 -> po_0.10_4
5,54,0 -> 1-po_0.10_4
5,55,1 -> po_0.11_4
5,55,0 -> 1-po_0.11_4
5,56,1 -> po_0.00_2
5,56,0 -> 1-po_0.00_2
5,57,1 -> po_0.01_2
5,57,0 -> 1-po_0.01_2
5,58,1 -> po_0.10_2
5,58,0 -> 1-po_0.10_2
5,59,1 -> po_0.11_2
5,59,0 -> 1-po_0.11_2
5,60,1 -> po_0.00_5
5,60,0 -> 1-po_0.00_5
5,61,1 -> po_0.01_5
5,61,0 -> 1-po_0.01_5
5,62,1 -> po_0.10_5
5,62,0 -> 1-po_0.10_5
5,63,1 -> po_0.11_5
5,63,0 -> 1-po_0.11_5
6,0,1 -> po_1.00_6
6,0,0 -> 1-po_1.00_6
6,1,1 -> po_1.01_6
6,1,0 -> 1-po_1.01_6
6,2,1 -> po_1.10_6
6,2,0 -> 1-po_1.10_6
6,3,1 -> po_1.11_6
6,3,0 -> 1-po_1.11_6
6,4,1 -> po_1.00_5
6,4,0 -> 1-po_1.00_5
6,5,1 -> po_1.01_5
6,5,0 -> 1-po_1.01_5
6,6,1 -> po_1.10_5
6,6,0 -> 1-po_1.10_5
6,7,1 -> po_1.11_5
6,7,0 -> 1-po_1.11_5
6,8,1 -> po_1.00_2
6,8,0 -> 1-po_1.00_2
6,9,1 -> po_1.01_2
6,9,0 -> 1-po_1.01_2
6,10,1 -> po_1.10_2
6,10,0 -> 1-po_1.10_2
6,11,1 -> po_1.11_2
6,11,0 -> 1-po_1.11_2
6,12,1 -> po_1.00_4
6,12,0 -> 1-po_1.00_4
6,13,1 -> po_1.01_4
6,13,0 -> 1-po_1.01_4
6,14,1 -> po_1.10_4
6,14,0 -> 1-po_1.10_4
6,15,1 -> po_1.11_4
6,15,0 -> 1-po_1.11_4
6,16,1 -> po_1.00_7
6,16,0 -> 1-po_1.00_7
6,17,1 -> po_1.01_7
6,17,0 -> 1-po_1.01_7
6,18,1 -> po_1.10_7
6,18,0 -> 1-po_1.10_7
6,19,1 -> po_1.11_7
6,19,0 -> 1-po_1.11_7
6,20,1 -> po_1.00_2
6,20,0 -> 1-po_1.00_2
6,21,1 -> po_1.01_2
6,21,0 -> 1-po_1.01_2
6,22,1 -> po_1.10_2
6,22,0 -> 1-po_1.10_2
6,23,1 -> po_1.11_2
6,23,0 -> 1-po_1.11_2
6,24,1 -> po_1.00_0
6,24,0 -> 1-po_1.00_0
6,25,1 -> po_1.01_0
6,25,0 -> 1-po_1.01_0
6,26,1 -> po_1.10_0
6,26,0 -> 1-po_1.10_0
6,27,1 -> po_1.11_0
6,27,0 -> 1-po_1.11_0
6,28,1 -> po_1.00_1
6,28,0 -> 1-po_1.00_1
6,29,1 -> po_1.01_1
6,29,0 -> 1-po_1.01_1
6,30,1 -> po_1.10_1
6,30,0 -> 1-po_1.10_1
6,31,1 -> po_1.11_1
6,31,0 -> 1-po_1.11_1
6,32,1 -> po_1.00_8
6,32,0 -> 1-po_1.00_8
6,33,1 -> po_1.01_8
6,33,0 -> 1-po_1.01_8
6,34,1 -> po_1.10_8
6,34,0 -> 1-po_1.10_8
6,35,1 -> po_1.11_8
6,35,0 -> 1-po_1.11_8
6,36,1 -> po_1.00_4
6,36,0 -> 1-po_1.00_4
6,37,1 -> po_1.01_4
6,37,0 -> 1-po_1.01_4
6,38,1 -> po_1.10_4
6,38,0 -> 1-po_1.10_4
6,39,1 -> po_1.11_4
6,39,0 -> 1-po_1.11_4
6,40,1 -> po_1.00_1
6,40,0 -> 1-po_1.00_1
6,41,1 -> po_1.01_1
6,41,0 -> 1-po_1.01_1
6,42,1 -> po_1.10_1
6,42,0 -> 1-po_1.10_1
6,43,1 -> po_1.11_1
6,43,0 -> 1-po_1.11_1
6,44,1 -> po_1.00_3
6,44,0 -> 1-po_1.00_3
6,45,1 -> po_1.01_3
6,45,0 -> 1-po_1.01_3
6,46,1 -> po_1.10_3
6,46,0 -> 1-po_1.10_3
6,47,1 -> po_1.11_3
6,47,0 -> 1-po_1.11_3
6,48,1 -> po_1.00_7
6,48,0 -> 1-po_1.00_7
6,49,1 -> po_1.01_7
6,49,0 -> 1-po_1.01_7
6,50,1 -> po_1.10_7
6,50,0 -> 1-po_1.10_7
6,51,1 -> po_1.11_7
6,51,0 -> 1-po_1.11_7
6,52,1 -> po_1.00_2
6,52,0 -> 1-po_1.00_2
6,53,1 -> po_1.01_2
6,53,0 -> 1-po_1.01_2
6,54,1 -> po_1.10_2
6,54,0 -> 1-po_1.10_2
6,55,1 -> po_1.11_2
6,55,0 -> 1-po_1.11_2
6,56,1 -> po_1.00_0
6,56,0 -> 1-po_1.00_0
6,57,1 -> po_1.01_0
6,57,0 -> 1-po_1.01_0
6,58,1 -> po_1.10_0
6,58,0 -> 1-po_1.10_0
6,59,1 -> po_1.11_0
6,59,0 -> 1-po_1.11_0
6,60,1 -> po_1.00_1
6,60,0 -> 1-po_1.00_1
6,61,1 -> po_1.01_1
6,61,0 -> 1-po_1.01_1
6,62,1 -> po_1.10_1
6,62,0 -> 1-po_1.10_1
6,63,1 -> po_1.11_1
6,63,0 -> 1-po_1.11_1
7,0,1 -> po_2.00_6
7,0,0 -> 1-po_2.00_6
7,1,1 -> po_2.01_6
7,1,0 -> 1-po_2.01_6
7,2,1 -> po_2.10_6
7,2,0 -> 1-po_2.10_6
7,3,1 -> po_2.11_6
7,3,0 -> 1-po_2.11_6
7,4,1 -> po_2.00_7
7,4,0 -> 1-po_2.00_7
7,5,1 -> po_2.01_7
7,5,0 -> 1-po_2.01_7
7,6,1 -> po_2.10_7
7,6,0 -> 1-po_2.10_7
7,7,1 -> po_2.11_7
7,7,0 -> 1-po_2.11_7
7,8,1 -> po_2.00_8
7,8,0 -> 1-po_2.00_8
7,9,1 -> po_2.01_8
7,9,0 -> 1-po_2.01_8
7,10,1 -> po_2.10_8
7,10,0 -> 1-po_2.10_8
7,11,1 -> po_2.11_8
7,11,0 -> 1-po_2.11_8
7,12,1 -> po_2.00_7
7,12,0 -> 1-po_2.00_7
7,13,1 -> po_2.01_7
7,13,0 -> 1-po_2.01_7
7,14,1 -> po_2.10_7
7,14,0 -> 1-po_2.10_7
7,15,1 -> po_2.11_7
7,15,0 -> 1-po_2.11_7
7,16,1 -> po_2.00_5
7,16,0 -> 1-po_2.00_5
7,17,1 -> po_2.01_5
7,17,0 -> 1-po_2.01_5
