51, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s0.2-b, s0.2-g, s0.3-b, s0.3-g, s0.4-b, s0.4-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, s1.2-b, s1.2-g, s1.3-b, s1.3-g, s1.4-b, s1.4-g, s2.0-b, s2.0-g, s2.1-b, s2.1-g, s2.2-b, s2.2-g, s2.3-b, s2.3-g, s2.4-b, s2.4-g, s3.0-b, s3.0-g, s3.1-b, s3.1-g, s3.2-b, s3.2-g, s3.3-b, s3.3-g, s3.4-b, s3.4-g, s4.0-b, s4.0-g, s4.1-b, s4.1-g, s4.2-b, s4.2-g, s4.3-b, s4.3-g, s4.4-b, s4.4-g, exit]
1, [e1]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
20,3,20 -> 1
21,0,31 -> 1
21,1,11 -> 1
21,2,23 -> 1
21,3,21 -> 1
20,5,20 -> 1
21,5,21 -> 1
20,6,20 -> 1
21,6,21 -> 1
20,7,20 -> 1
21,7,21 -> 1
22,0,32 -> 1
22,1,12 -> 1
22,2,24 -> 1
22,3,20 -> 1
23,0,33 -> 1
23,1,13 -> 1
23,2,25 -> 1
23,3,21 -> 1
22,4,22 -> 1
23,4,22 -> 0
23,4,23 -> 1
22,5,22 -> 1
23,5,23 -> 1
22,6,22 -> 1
23,6,23 -> 1
22,7,22 -> 1
23,7,23 -> 1
24,0,34 -> 1
24,1,14 -> 1
24,2,26 -> 1
24,3,22 -> 1
25,0,35 -> 1
25,1,15 -> 1
25,2,27 -> 1
25,3,23 -> 1
24,5,24 -> 1
25,5,25 -> 1
24,6,24 -> 1
25,6,25 -> 1
24,7,24 -> 1
25,7,25 -> 1
26,0,36 -> 1
26,1,16 -> 1
26,2,28 -> 1
26,3,24 -> 1
27,0,37 -> 1
27,1,17 -> 1
27,2,29 -> 1
27,3,25 -> 1
26,5,26 -> 1
27,5,27 -> 1
26,6,26 -> 1
27,6,27 -> 1
26,7,26 -> 1
27,7,27 -> 1
28,0,38 -> 1
28,1,18 -> 1
28,2,50 -> 1
28,3,26 -> 1
29,0,39 -> 1
29,1,19 -> 1
29,2,50 -> 1
29,3,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
28,6,28 -> 1
29,6,29 -> 1
28,7,28 -> 1
29,7,29 -> 1
30,0,40 -> 1
30,1,20 -> 1
30,2,32 -> 1
30,3,30 -> 1
31,0,41 -> 1
31,1,21 -> 1
31,2,33 -> 1
31,3,31 -> 1
30,5,30 -> 1
31,5,31 -> 1
30,6,30 -> 1
31,6,31 -> 1
30,7,30 -> 1
31,7,31 -> 1
32,0,42 -> 1
32,1,22 -> 1
32,2,34 -> 1
32,3,30 -> 1
33,0,43 -> 1
33,1,23 -> 1
33,2,35 -> 1
33,3,31 -> 1
32,5,32 -> 1
33,5,33 -> 1
32,6,32 -> 1
33,6,33 -> 1
32,7,32 -> 1
33,7,33 -> 1
34,0,44 -> 1
34,1,24 -> 1
34,2,36 -> 1
34,3,32 -> 1
35,0,45 -> 1
35,1,25 -> 1
35,2,37 -> 1
35,3,33 -> 1
34,5,34 -> 1
35,5,35 -> 1
34,6,34 -> 1
35,6,35 -> 1
34,7,34 -> 1
35,7,35 -> 1
36,0,46 -> 1
36,1,26 -> 1
36,2,38 -> 1
36,3,34 -> 1
37,0,47 -> 1
37,1,27 -> 1
37,2,39 -> 1
37,3,35 -> 1
36,5,36 -> 1
37,5,37 -> 1
36,6,36 -> 1
37,6,37 -> 1
36,7,36 -> 1
37,7,37 -> 1
38,0,48 -> 1
38,1,28 -> 1
38,2,50 -> 1
38,3,36 -> 1
39,0,49 -> 1
39,1,29 -> 1
39,2,50 -> 1
39,3,37 -> 1
38,5,38 -> 1
39,5,39 -> 1
38,6,38 -> 1
39,6,39 -> 1
38,7,38 -> 1
39,7,39 -> 1
40,0,40 -> 1
40,1,30 -> 1
40,2,42 -> 1
40,3,40 -> 1
41,0,41 -> 1
41,1,31 -> 1
41,2,43 -> 1
41,3,41 -> 1
40,5,40 -> 1
41,5,41 -> 1
40,6,40 -> 1
41,6,41 -> 1
40,7,40 -> 1
41,7,41 -> 1
42,0,42 -> 1
42,1,32 -> 1
42,2,44 -> 1
42,3,40 -> 1
43,0,43 -> 1
43,1,33 -> 1
43,2,45 -> 1
43,3,41 -> 1
42,5,42 -> 1
43,5,43 -> 1
42,6,42 -> 1
43,6,43 -> 1
42,7,42 -> 1
43,7,43 -> 1
44,0,44 -> 1
44,1,34 -> 1
44,2,46 -> 1
44,3,42 -> 1
45,0,45 -> 1
45,1,35 -> 1
45,2,47 -> 1
45,3,43 -> 1
44,5,44 -> 1
45,5,45 -> 1
44,6,44 -> 1
45,6,45 -> 1
44,7,44 -> 1
45,7,45 -> 1
46,0,46 -> 1
46,1,36 -> 1
46,2,48 -> 1
46,3,44 -> 1
47,0,47 -> 1
47,1,37 -> 1
47,2,49 -> 1
47,3,45 -> 1
46,5,46 -> 1
47,5,47 -> 1
46,6,46 -> 1
47,6,47 -> 1
46,7,46 -> 1
47,7,47 -> 1
48,0,48 -> 1
48,1,38 -> 1
48,2,50 -> 1
48,3,46 -> 1
49,0,49 -> 1
49,1,39 -> 1
49,2,50 -> 1
49,3,47 -> 1
48,5,48 -> 1
49,5,49 -> 1
48,6,48 -> 1
49,6,49 -> 1
48,7,48 -> 1
49,7,49 -> 1
50,_,50 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
0,16,2 -> 1
0,17,2 -> 1
0,18,2 -> 1
0,19,2 -> 1
0,20,2 -> 1
0,21,2 -> 1
0,22,2 -> 1
0,23,2 -> 1
0,24,2 -> 1
0,25,2 -> 1
0,26,2 -> 1
0,27,2 -> 1
0,28,2 -> 1
0,29,2 -> 1
0,30,2 -> 1
0,31,2 -> 1
0,32,2 -> 1
0,33,2 -> 1
0,34,2 -> 1
0,35,2 -> 1
0,36,2 -> 1
0,37,2 -> 1
0,38,2 -> 1
0,39,2 -> 1
0,40,2 -> 1
0,41,2 -> 1
0,42,2 -> 1
0,43,2 -> 1
0,44,2 -> 1
0,45,2 -> 1
0,46,2 -> 1
0,47,2 -> 1
0,48,2 -> 1
0,49,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
1,16,2 -> 1
1,17,2 -> 1
1,18,2 -> 1
1,19,2 -> 1
1,20,2 -> 1
1,21,2 -> 1
1,22,2 -> 1
1,23,2 -> 1
1,24,2 -> 1
1,25,2 -> 1
1,26,2 -> 1
1,27,2 -> 1
1,28,2 -> 1
1,29,2 -> 1
1,30,2 -> 1
1,31,2 -> 1
1,32,2 -> 1
1,33,2 -> 1
1,34,2 -> 1
1,35,2 -> 1
1,36,2 -> 1
1,37,2 -> 1
1,38,2 -> 1
1,39,2 -> 1
1,40,2 -> 1
1,41,2 -> 1
1,42,2 -> 1
1,43,2 -> 1
1,44,2 -> 1
1,45,2 -> 1
1,46,2 -> 1
1,47,2 -> 1
1,48,2 -> 1
1,49,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
2,16,2 -> 1
2,17,2 -> 1
2,18,2 -> 1
2,19,2 -> 1
2,20,2 -> 1
2,21,2 -> 1
2,22,2 -> 1
2,23,2 -> 1
2,24,2 -> 1
2,25,2 -> 1
2,26,2 -> 1
2,27,2 -> 1
2,28,2 -> 1
2,29,2 -> 1
2,30,2 -> 1
2,31,2 -> 1
2,32,2 -> 1
2,33,2 -> 1
2,34,2 -> 1
2,35,2 -> 1
2,36,2 -> 1
2,37,2 -> 1
2,38,2 -> 1
2,39,2 -> 1
2,40,2 -> 1
2,41,2 -> 1
2,42,2 -> 1
2,43,2 -> 1
2,44,2 -> 1
2,45,2 -> 1
2,46,2 -> 1
2,47,2 -> 1
2,48,2 -> 1
2,49,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
3,16,2 -> 1
3,17,2 -> 1
3,18,2 -> 1
3,19,2 -> 1
3,20,2 -> 1
3,21,2 -> 1
3,22,2 -> 1
3,23,2 -> 1
3,24,2 -> 1
3,25,2 -> 1
3,26,2 -> 1
3,27,2 -> 1
3,28,2 -> 1
3,29,2 -> 1
3,30,2 -> 1
3,31,2 -> 1
3,32,2 -> 1
3,33,2 -> 1
3,34,2 -> 1
3,35,2 -> 1
3,36,2 -> 1
3,37,2 -> 1
3,38,2 -> 1
3,39,2 -> 1
3,40,2 -> 1
3,41,2 -> 1
3,42,2 -> 1
3,43,2 -> 1
3,44,2 -> 1
3,45,2 -> 1
3,46,2 -> 1
3,47,2 -> 1
3,48,2 -> 1
3,49,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
4,32,2 -> 1
4,33,2 -> 1
4,34,2 -> 1
4,35,2 -> 1
4,36,2 -> 1
4,37,2 -> 1
4,38,2 -> 1
4,39,2 -> 1
4,40,2 -> 1
4,41,2 -> 1
4,42,2 -> 1
4,43,2 -> 1
4,44,2 -> 1
4,45,2 -> 1
4,46,2 -> 1
4,47,2 -> 1
4,48,2 -> 1
4,49,2 -> 1
5,0,1 -> 0.26964
5,0,0 -> 0.73036
5,1,1 -> 0.26964
5,1,0 -> 0.73036
5,2,1 -> 0.25
5,2,0 -> 0.75
5,3,1 -> 0.25
5,3,0 -> 0.75
5,4,1 -> 0.26964
5,4,0 -> 0.73036
5,5,1 -> 0.26964
5,5,0 -> 0.73036
5,6,1 -> 0.312393
5,6,0 -> 0.687607
5,7,1 -> 0.312393
5,7,0 -> 0.687607
5,8,1 -> 0.356688
5,8,0 -> 0.643312
5,9,1 -> 0.356688
5,9,0 -> 0.643312
5,10,1 -> 0.193727
5,10,0 -> 0.806273
5,11,1 -> 0.193727
5,11,0 -> 0.806273
5,12,1 -> 0.146446
5,12,0 -> 0.853554
5,13,1 -> 0.146446
5,13,0 -> 0.853554
5,14,1 -> 0.193727
5,14,0 -> 0.806273
5,15,1 -> 0.193727
5,15,0 -> 0.806273
5,16,1 -> 0.26964
5,16,0 -> 0.73036
5,17,1 -> 0.26964
5,17,0 -> 0.73036
5,18,1 -> 0.332891
5,18,0 -> 0.667109
5,19,1 -> 0.332891
5,19,0 -> 0.667109
5,20,1 -> 0.146446
5,20,0 -> 0.853554
5,21,1 -> 0.146446
5,21,0 -> 0.853554
5,22,1 -> 0.0
5,22,0 -> 1.0
5,23,1 -> 0.0
5,23,0 -> 1.0
5,24,1 -> 0.146446
5,24,0 -> 0.853554
5,25,1 -> 0.146446
5,25,0 -> 0.853554
5,26,1 -> 0.25
5,26,0 -> 0.75
5,27,1 -> 0.25
5,27,0 -> 0.75
5,28,1 -> 0.323224
5,28,0 -> 0.676776
5,29,1 -> 0.323224
5,29,0 -> 0.676776
5,30,1 -> 0.193727
5,30,0 -> 0.806273
5,31,1 -> 0.193727
5,31,0 -> 0.806273
5,32,1 -> 0.146446
5,32,0 -> 0.853554
5,33,1 -> 0.146446
5,33,0 -> 0.853554
5,34,1 -> 0.193727
5,34,0 -> 0.806273
5,35,1 -> 0.193727
5,35,0 -> 0.806273
5,36,1 -> 0.26964
5,36,0 -> 0.73036
5,37,1 -> 0.26964
5,37,0 -> 0.73036
5,38,1 -> 0.332891
5,38,0 -> 0.667109
5,39,1 -> 0.332891
5,39,0 -> 0.667109
5,40,1 -> 0.26964
5,40,0 -> 0.73036
5,41,1 -> 0.26964
5,41,0 -> 0.73036
5,42,1 -> 0.25
5,42,0 -> 0.75
5,43,1 -> 0.25
5,43,0 -> 0.75
5,44,1 -> 0.26964
5,44,0 -> 0.73036
5,45,1 -> 0.26964
5,45,0 -> 0.73036
5,46,1 -> 0.312393
5,46,0 -> 0.687607
5,47,1 -> 0.312393
5,47,0 -> 0.687607
5,48,1 -> 0.356688
5,48,0 -> 0.643312
5,49,1 -> 0.356688
5,49,0 -> 0.643312
6,0,1 -> 0.193727
6,0,0 -> 0.806273
6,1,1 -> 0.193727
6,1,0 -> 0.806273
6,2,1 -> 0.146446
6,2,0 -> 0.853554
6,3,1 -> 0.146446
6,3,0 -> 0.853554
6,4,1 -> 0.193727
6,4,0 -> 0.806273
6,5,1 -> 0.193727
6,5,0 -> 0.806273
6,6,1 -> 0.26964
6,6,0 -> 0.73036
6,7,1 -> 0.26964
6,7,0 -> 0.73036
6,8,1 -> 0.332891
6,8,0 -> 0.667109
6,9,1 -> 0.332891
6,9,0 -> 0.667109
6,10,1 -> 0.146446
6,10,0 -> 0.853554
6,11,1 -> 0.146446
6,11,0 -> 0.853554
6,12,1 -> 0.0
6,12,0 -> 1.0
6,13,1 -> 0.0
6,13,0 -> 1.0
6,14,1 -> 0.146446
6,14,0 -> 0.853554
6,15,1 -> 0.146446
6,15,0 -> 0.853554
6,16,1 -> 0.25
6,16,0 -> 0.75
6,17,1 -> 0.25
6,17,0 -> 0.75
6,18,1 -> 0.323224
6,18,0 -> 0.676776
6,19,1 -> 0.323224
6,19,0 -> 0.676776
6,20,1 -> 0.193727
6,20,0 -> 0.806273
6,21,1 -> 0.193727
6,21,0 -> 0.806273
6,22,1 -> 0.146446
6,22,0 -> 0.853554
6,23,1 -> 0.146446
6,23,0 -> 0.853554
6,24,1 -> 0.193727
6,24,0 -> 0.806273
6,25,1 -> 0.193727
6,25,0 -> 0.806273
6,26,1 -> 0.26964
6,26,0 -> 0.73036
6,27,1 -> 0.26964
6,27,0 -> 0.73036
6,28,1 -> 0.332891
6,28,0 -> 0.667109
6,29,1 -> 0.332891
6,29,0 -> 0.667109
6,30,1 -> 0.26964
6,30,0 -> 0.73036
6,31,1 -> 0.26964
6,31,0 -> 0.73036
6,32,1 -> 0.25
6,32,0 -> 0.75
6,33,1 -> 0.25
6,33,0 -> 0.75
6,34,1 -> 0.26964
6,34,0 -> 0.73036
6,35,1 -> 0.26964
6,35,0 -> 0.73036
6,36,1 -> 0.312393
6,36,0 -> 0.687607
6,37,1 -> 0.312393
6,37,0 -> 0.687607
6,38,1 -> 0.356688
6,38,0 -> 0.643312
6,39,1 -> 0.356688
6,39,0 -> 0.643312
6,40,1 -> 0.332891
6,40,0 -> 0.667109
6,41,1 -> 0.332891
6,41,0 -> 0.667109
6,42,1 -> 0.323224
6,42,0 -> 0.676776
6,43,1 -> 0.323224
6,43,0 -> 0.676776
6,44,1 -> 0.332891
6,44,0 -> 0.667109
6,45,1 -> 0.332891
6,45,0 -> 0.667109
6,46,1 -> 0.356688
6,46,0 -> 0.643312
6,47,1 -> 0.356688
6,47,0 -> 0.643312
6,48,1 -> 0.385082
6,48,0 -> 0.614918
6,49,1 -> 0.385082
6,49,0 -> 0.614918
7,0,1 -> 0.375
7,0,0 -> 0.625
7,1,1 -> 0.625
7,1,0 -> 0.375
7,2,1 -> 0.323224
7,2,0 -> 0.676776
7,3,1 -> 0.676776
7,3,0 -> 0.323224
7,4,1 -> 0.25
7,4,0 -> 0.75
7,5,1 -> 0.75
7,5,0 -> 0.25
7,6,1 -> 0.146446
7,6,0 -> 0.853554
7,7,1 -> 0.853554
7,7,0 -> 0.146446
7,8,1 -> 0.0
7,8,0 -> 1.0
7,9,1 -> 1.0
7,9,0 -> 0.0
7,10,1 -> 0.380221
7,10,0 -> 0.619779
7,11,1 -> 0.619779
7,11,0 -> 0.380221
7,12,1 -> 0.332891
7,12,0 -> 0.667109
7,13,1 -> 0.667109
7,13,0 -> 0.332891
7,14,1 -> 0.26964
7,14,0 -> 0.73036
7,15,1 -> 0.73036
7,15,0 -> 0.26964
7,16,1 -> 0.193727
7,16,0 -> 0.806273
7,17,1 -> 0.806274
7,17,0 -> 0.193726
7,18,1 -> 0.146446
7,18,0 -> 0.853554
7,19,1 -> 0.853554
7,19,0 -> 0.146446
7,20,1 -> 0.393868
7,20,0 -> 0.606132
7,21,1 -> 0.606132
7,21,0 -> 0.393868
7,22,1 -> 0.356688
7,22,0 -> 0.643312
7,23,1 -> 0.643312
7,23,0 -> 0.356688
7,24,1 -> 0.312393
7,24,0 -> 0.687607
7,25,1 -> 0.687607
7,25,0 -> 0.312393
7,26,1 -> 0.26964
7,26,0 -> 0.73036
7,27,1 -> 0.73036
7,27,0 -> 0.26964
7,28,1 -> 0.25
7,28,0 -> 0.75
7,29,1 -> 0.75
7,29,0 -> 0.25
7,30,1 -> 0.411612
7,30,0 -> 0.588388
7,31,1 -> 0.588388
7,31,0 -> 0.411612
7,32,1 -> 0.385082
7,32,0 -> 0.614918
7,33,1 -> 0.614918
7,33,0 -> 0.385082
7,34,1 -> 0.356688
7,34,0 -> 0.643312
7,35,1 -> 0.643312
7,35,0 -> 0.356688
7,36,1 -> 0.332891
7,36,0 -> 0.667109
7,37,1 -> 0.667109
7,37,0 -> 0.332891
7,38,1 -> 0.323224
7,38,0 -> 0.676776
7,39,1 -> 0.676776
7,39,0 -> 0.323224
7,40,1 -> 0.429607
7,40,0 -> 0.570393
7,41,1 -> 0.570393
7,41,0 -> 0.429607
7,42,1 -> 0.411612
7,42,0 -> 0.588388
7,43,1 -> 0.588388
7,43,0 -> 0.411612
7,44,1 -> 0.393868
7,44,0 -> 0.606132
7,45,1 -> 0.606132
7,45,0 -> 0.393868
7,46,1 -> 0.380221
7,46,0 -> 0.619779
7,47,1 -> 0.619779
7,47,0 -> 0.380221
7,48,1 -> 0.375
7,48,0 -> 0.625
7,49,1 -> 0.625
7,49,0 -> 0.375
_,50,2 -> 1

# Reward function (s,a -> r)
8,4 -> -10
9,4 -> 10
8,2 -> 10
9,2 -> 10
12,4 -> -10
13,4 -> -10
18,2 -> 10
19,2 -> 10
22,4 -> -10
23,4 -> -10
28,2 -> 10
29,2 -> 10
38,2 -> 10
39,2 -> 10
48,2 -> 10
49,2 -> 10

# Initial beliefs (s -> p)
1 -> 1
