33, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s0.2-b, s0.2-g, s0.3-b, s0.3-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, s1.2-b, s1.2-g, s1.3-b, s1.3-g, s2.0-b, s2.0-g, s2.1-b, s2.1-g, s2.2-b, s2.2-g, s2.3-b, s2.3-g, s3.0-b, s3.0-g, s3.1-b, s3.1-g, s3.2-b, s3.2-g, s3.3-b, s3.3-g, exit]
2, [e-gb, e-bg]
8,3,8 -> 1
9,0,17 -> 1
9,1,1 -> 1
9,2,11 -> 1
9,3,9 -> 1
8,5,8 -> 1
9,5,9 -> 1
8,6,8 -> 1
9,6,9 -> 1
10,0,18 -> 1
10,1,2 -> 1
10,2,12 -> 1
10,3,8 -> 1
11,0,19 -> 1
11,1,3 -> 1
11,2,13 -> 1
11,3,9 -> 1
10,4,10 -> 1
11,4,10 -> pt_0.0
11,4,11 -> 1-pt_0.0
10,5,10 -> 1
11,5,11 -> 1
10,6,10 -> 1
11,6,11 -> 1
12,0,20 -> 1
12,1,4 -> 1
12,2,14 -> 1
12,3,10 -> 1
13,0,21 -> 1
13,1,5 -> 1
13,2,15 -> 1
13,3,11 -> 1
12,5,12 -> 1
13,5,13 -> 1
12,6,12 -> 1
13,6,13 -> 1
14,0,22 -> 1
14,1,6 -> 1
14,2,32 -> 1
14,3,12 -> 1
15,0,23 -> 1
15,1,7 -> 1
15,2,32 -> 1
15,3,13 -> 1
14,5,14 -> 1
15,5,15 -> 1
14,6,14 -> 1
15,6,15 -> 1
16,0,24 -> 1
16,1,8 -> 1
16,2,18 -> 1
16,3,16 -> 1
17,0,25 -> 1
17,1,9 -> 1
17,2,19 -> 1
17,3,17 -> 1
16,5,16 -> 1
17,5,17 -> 1
16,6,16 -> 1
17,6,17 -> 1
18,0,26 -> 1
18,1,10 -> 1
18,2,20 -> 1
18,3,16 -> 1
19,0,27 -> 1
19,1,11 -> 1
19,2,21 -> 1
19,3,17 -> 1
18,5,18 -> 1
19,5,19 -> 1
18,6,18 -> 1
19,6,19 -> 1
20,0,28 -> 1
20,1,12 -> 1
20,2,22 -> 1
20,3,18 -> 1
21,0,29 -> 1
21,1,13 -> 1
21,2,23 -> 1
21,3,19 -> 1
20,5,20 -> 1
21,5,21 -> 1
20,6,20 -> 1
21,6,21 -> 1
22,0,30 -> 1
22,1,14 -> 1
22,2,32 -> 1
22,3,20 -> 1
23,0,31 -> 1
23,1,15 -> 1
23,2,32 -> 1
23,3,21 -> 1
22,4,22 -> 1
23,4,22 -> pt_1.0
23,4,23 -> 1-pt_1.0
22,5,22 -> 1
23,5,23 -> 1
22,6,22 -> 1
23,6,23 -> 1
24,0,24 -> 1
24,1,16 -> 1
24,2,26 -> 1
24,3,24 -> 1
25,0,25 -> 1
25,1,17 -> 1
25,2,27 -> 1
25,3,25 -> 1
24,5,24 -> 1
25,5,25 -> 1
24,6,24 -> 1
25,6,25 -> 1
26,0,26 -> 1
26,1,18 -> 1
26,2,28 -> 1
26,3,24 -> 1
27,0,27 -> 1
27,1,19 -> 1
27,2,29 -> 1
27,3,25 -> 1
26,5,26 -> 1
27,5,27 -> 1
26,6,26 -> 1
27,6,27 -> 1
28,0,28 -> 1
28,1,20 -> 1
28,2,30 -> 1
28,3,26 -> 1
29,0,29 -> 1
29,1,21 -> 1
29,2,31 -> 1
29,3,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
28,6,28 -> 1
29,6,29 -> 1
30,0,30 -> 1
30,1,22 -> 1
30,2,32 -> 1
30,3,28 -> 1
31,0,31 -> 1
31,1,23 -> 1
31,2,32 -> 1
31,3,29 -> 1
30,5,30 -> 1
31,5,31 -> 1
30,6,30 -> 1
31,6,31 -> 1
32,_,32 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
0,16,2 -> 1
0,17,2 -> 1
0,18,2 -> 1
0,19,2 -> 1
0,20,2 -> 1
0,21,2 -> 1
0,22,2 -> 1
0,23,2 -> 1
0,24,2 -> 1
0,25,2 -> 1
0,26,2 -> 1
0,27,2 -> 1
0,28,2 -> 1
0,29,2 -> 1
0,30,2 -> 1
0,31,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
1,16,2 -> 1
1,17,2 -> 1
1,18,2 -> 1
1,19,2 -> 1
1,20,2 -> 1
1,21,2 -> 1
1,22,2 -> 1
1,23,2 -> 1
1,24,2 -> 1
1,25,2 -> 1
1,26,2 -> 1
1,27,2 -> 1
1,28,2 -> 1
1,29,2 -> 1
1,30,2 -> 1
1,31,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
2,16,2 -> 1
2,17,2 -> 1
2,18,2 -> 1
2,19,2 -> 1
2,20,2 -> 1
2,21,2 -> 1
2,22,2 -> 1
2,23,2 -> 1
2,24,2 -> 1
2,25,2 -> 1
2,26,2 -> 1
2,27,2 -> 1
2,28,2 -> 1
2,29,2 -> 1
2,30,2 -> 1
2,31,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
3,16,2 -> 1
3,17,2 -> 1
3,18,2 -> 1
3,19,2 -> 1
3,20,2 -> 1
3,21,2 -> 1
3,22,2 -> 1
3,23,2 -> 1
3,24,2 -> 1
3,25,2 -> 1
3,26,2 -> 1
3,27,2 -> 1
3,28,2 -> 1
3,29,2 -> 1
3,30,2 -> 1
3,31,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
5,0,1 -> po_0.0_0
5,0,0 -> 1-po_0.0_0
5,1,1 -> po_0.1_0
5,1,0 -> 1-po_0.1_0
5,2,1 -> po_0.0_1
5,2,0 -> 1-po_0.0_1
5,3,1 -> po_0.1_1
5,3,0 -> 1-po_0.1_1
5,4,1 -> po_0.0_0
5,4,0 -> 1-po_0.0_0
5,5,1 -> po_0.1_0
5,5,0 -> 1-po_0.1_0
5,6,1 -> po_0.0_2
5,6,0 -> 1-po_0.0_2
5,7,1 -> po_0.1_2
5,7,0 -> 1-po_0.1_2
5,8,1 -> po_0.0_1
5,8,0 -> 1-po_0.0_1
5,9,1 -> po_0.1_1
5,9,0 -> 1-po_0.1_1
5,10,1 -> po_0.0_3
5,10,0 -> 1-po_0.0_3
5,11,1 -> po_0.1_3
5,11,0 -> 1-po_0.1_3
5,12,1 -> po_0.0_1
5,12,0 -> 1-po_0.0_1
5,13,1 -> po_0.1_1
5,13,0 -> 1-po_0.1_1
5,14,1 -> po_0.0_4
5,14,0 -> 1-po_0.0_4
5,15,1 -> po_0.1_4
5,15,0 -> 1-po_0.1_4
5,16,1 -> po_0.0_0
5,16,0 -> 1-po_0.0_0
5,17,1 -> po_0.1_0
5,17,0 -> 1-po_0.1_0
5,18,1 -> po_0.0_1
5,18,0 -> 1-po_0.0_1
5,19,1 -> po_0.1_1
5,19,0 -> 1-po_0.1_1
5,20,1 -> po_0.0_0
5,20,0 -> 1-po_0.0_0
5,21,1 -> po_0.1_0
5,21,0 -> 1-po_0.1_0
5,22,1 -> po_0.0_2
5,22,0 -> 1-po_0.0_2
5,23,1 -> po_0.1_2
5,23,0 -> 1-po_0.1_2
5,24,1 -> po_0.0_2
5,24,0 -> 1-po_0.0_2
5,25,1 -> po_0.1_2
5,25,0 -> 1-po_0.1_2
5,26,1 -> po_0.0_4
5,26,0 -> 1-po_0.0_4
5,27,1 -> po_0.1_4
5,27,0 -> 1-po_0.1_4
5,28,1 -> po_0.0_2
5,28,0 -> 1-po_0.0_2
5,29,1 -> po_0.1_2
5,29,0 -> 1-po_0.1_2
5,30,1 -> po_0.0_5
5,30,0 -> 1-po_0.0_5
5,31,1 -> po_0.1_5
5,31,0 -> 1-po_0.1_5
6,0,1 -> po_1.0_6
6,0,0 -> 1-po_1.0_6
6,1,1 -> po_1.1_6
6,1,0 -> 1-po_1.1_6
6,2,1 -> po_1.0_5
6,2,0 -> 1-po_1.0_5
6,3,1 -> po_1.1_5
6,3,0 -> 1-po_1.1_5
6,4,1 -> po_1.0_2
6,4,0 -> 1-po_1.0_2
6,5,1 -> po_1.1_2
6,5,0 -> 1-po_1.1_2
6,6,1 -> po_1.0_4
6,6,0 -> 1-po_1.0_4
6,7,1 -> po_1.1_4
6,7,0 -> 1-po_1.1_4
6,8,1 -> po_1.0_7
6,8,0 -> 1-po_1.0_7
6,9,1 -> po_1.1_7
6,9,0 -> 1-po_1.1_7
6,10,1 -> po_1.0_2
6,10,0 -> 1-po_1.0_2
6,11,1 -> po_1.1_2
6,11,0 -> 1-po_1.1_2
6,12,1 -> po_1.0_0
6,12,0 -> 1-po_1.0_0
6,13,1 -> po_1.1_0
6,13,0 -> 1-po_1.1_0
6,14,1 -> po_1.0_1
6,14,0 -> 1-po_1.0_1
6,15,1 -> po_1.1_1
6,15,0 -> 1-po_1.1_1
6,16,1 -> po_1.0_8
6,16,0 -> 1-po_1.0_8
6,17,1 -> po_1.1_8
6,17,0 -> 1-po_1.1_8
6,18,1 -> po_1.0_4
6,18,0 -> 1-po_1.0_4
6,19,1 -> po_1.1_4
6,19,0 -> 1-po_1.1_4
6,20,1 -> po_1.0_1
6,20,0 -> 1-po_1.0_1
6,21,1 -> po_1.1_1
6,21,0 -> 1-po_1.1_1
6,22,1 -> po_1.0_3
6,22,0 -> 1-po_1.0_3
6,23,1 -> po_1.1_3
6,23,0 -> 1-po_1.1_3
6,24,1 -> po_1.0_7
6,24,0 -> 1-po_1.0_7
6,25,1 -> po_1.1_7
6,25,0 -> 1-po_1.1_7
6,26,1 -> po_1.0_2
6,26,0 -> 1-po_1.0_2
6,27,1 -> po_1.1_2
6,27,0 -> 1-po_1.1_2
6,28,1 -> po_1.0_0
6,28,0 -> 1-po_1.0_0
6,29,1 -> po_1.1_0
6,29,0 -> 1-po_1.1_0
6,30,1 -> po_1.0_1
6,30,0 -> 1-po_1.0_1
6,31,1 -> po_1.1_1
6,31,0 -> 1-po_1.1_1
_,32,2 -> 1

# Reward function (s,a -> r)
6,2 -> 10
7,2 -> 10
10,4 -> r_0.0
11,4 -> r_0.1
14,2 -> 10
15,2 -> 10
22,4 -> r_1.0
23,4 -> r_1.1
22,2 -> 10
23,2 -> 10
30,2 -> 10
31,2 -> 10

# Initial beliefs (s -> p)
1 -> 1
