51, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s0.2-b, s0.2-g, s0.3-b, s0.3-g, s0.4-b, s0.4-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, s1.2-b, s1.2-g, s1.3-b, s1.3-g, s1.4-b, s1.4-g, s2.0-b, s2.0-g, s2.1-b, s2.1-g, s2.2-b, s2.2-g, s2.3-b, s2.3-g, s2.4-b, s2.4-g, s3.0-b, s3.0-g, s3.1-b, s3.1-g, s3.2-b, s3.2-g, s3.3-b, s3.3-g, s3.4-b, s3.4-g, s4.0-b, s4.0-g, s4.1-b, s4.1-g, s4.2-b, s4.2-g, s4.3-b, s4.3-g, s4.4-b, s4.4-g, exit]
2, [e-gb, e-bg]
0,2,2 -> 1
0,3,0 -> 1
1,0,11 -> 1
1,1,1 -> 1
1,2,3 -> 1
1,3,1 -> 1
0,5,0 -> 1
1,5,1 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,0,12 -> 1
2,1,2 -> 1
2,2,4 -> 1
2,3,0 -> 1
3,0,13 -> 1
3,1,3 -> 1
3,2,5 -> 1
3,3,1 -> 1
2,5,2 -> 1
3,5,3 -> 1
2,6,2 -> 1
3,6,3 -> 1
4,0,14 -> 1
4,1,4 -> 1
4,2,6 -> 1
4,3,2 -> 1
5,0,15 -> 1
5,1,5 -> 1
5,2,7 -> 1
5,3,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,0,16 -> 1
6,1,6 -> 1
6,2,8 -> 1
6,3,4 -> 1
7,0,17 -> 1
7,1,7 -> 1
7,2,9 -> 1
7,3,5 -> 1
6,5,6 -> 1
7,5,7 -> 1
6,6,6 -> 1
7,6,7 -> 1
8,0,18 -> 1
8,1,8 -> 1
8,2,50 -> 1
8,3,6 -> 1
9,0,19 -> 1
9,1,9 -> 1
9,2,50 -> 1
9,3,7 -> 1
8,4,8 -> 1
9,4,8 -> pt_0.0
9,4,9 -> 1-pt_0.0
8,5,8 -> 1
9,5,9 -> 1
8,6,8 -> 1
9,6,9 -> 1
10,0,20 -> 1
10,1,0 -> 1
10,2,12 -> 1
10,3,10 -> 1
11,0,21 -> 1
11,1,1 -> 1
11,2,13 -> 1
11,3,11 -> 1
10,5,10 -> 1
11,5,11 -> 1
10,6,10 -> 1
11,6,11 -> 1
12,0,22 -> 1
12,1,2 -> 1
12,2,14 -> 1
12,3,10 -> 1
13,0,23 -> 1
13,1,3 -> 1
13,2,15 -> 1
13,3,11 -> 1
12,5,12 -> 1
13,5,13 -> 1
12,6,12 -> 1
13,6,13 -> 1
14,0,24 -> 1
14,1,4 -> 1
14,2,16 -> 1
14,3,12 -> 1
15,0,25 -> 1
15,1,5 -> 1
15,2,17 -> 1
15,3,13 -> 1
14,5,14 -> 1
15,5,15 -> 1
14,6,14 -> 1
15,6,15 -> 1
16,0,26 -> 1
16,1,6 -> 1
16,2,18 -> 1
16,3,14 -> 1
17,0,27 -> 1
17,1,7 -> 1
17,2,19 -> 1
17,3,15 -> 1
16,5,16 -> 1
17,5,17 -> 1
16,6,16 -> 1
17,6,17 -> 1
18,0,28 -> 1
18,1,8 -> 1
18,2,50 -> 1
18,3,16 -> 1
19,0,29 -> 1
19,1,9 -> 1
19,2,50 -> 1
19,3,17 -> 1
18,5,18 -> 1
19,5,19 -> 1
18,6,18 -> 1
19,6,19 -> 1
20,0,30 -> 1
20,1,10 -> 1
20,2,22 -> 1
20,3,20 -> 1
21,0,31 -> 1
21,1,11 -> 1
21,2,23 -> 1
21,3,21 -> 1
20,5,20 -> 1
21,5,21 -> 1
20,6,20 -> 1
21,6,21 -> 1
22,0,32 -> 1
22,1,12 -> 1
22,2,24 -> 1
22,3,20 -> 1
23,0,33 -> 1
23,1,13 -> 1
23,2,25 -> 1
23,3,21 -> 1
22,5,22 -> 1
23,5,23 -> 1
22,6,22 -> 1
23,6,23 -> 1
24,0,34 -> 1
24,1,14 -> 1
24,2,26 -> 1
24,3,22 -> 1
25,0,35 -> 1
25,1,15 -> 1
25,2,27 -> 1
25,3,23 -> 1
24,5,24 -> 1
25,5,25 -> 1
24,6,24 -> 1
25,6,25 -> 1
26,0,36 -> 1
26,1,16 -> 1
26,2,28 -> 1
26,3,24 -> 1
27,0,37 -> 1
27,1,17 -> 1
27,2,29 -> 1
27,3,25 -> 1
26,5,26 -> 1
27,5,27 -> 1
26,6,26 -> 1
27,6,27 -> 1
28,0,38 -> 1
28,1,18 -> 1
28,2,50 -> 1
28,3,26 -> 1
29,0,39 -> 1
29,1,19 -> 1
29,2,50 -> 1
29,3,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
28,6,28 -> 1
29,6,29 -> 1
30,0,40 -> 1
30,1,20 -> 1
30,2,32 -> 1
30,3,30 -> 1
31,0,41 -> 1
31,1,21 -> 1
31,2,33 -> 1
31,3,31 -> 1
30,5,30 -> 1
31,5,31 -> 1
30,6,30 -> 1
31,6,31 -> 1
32,0,42 -> 1
32,1,22 -> 1
32,2,34 -> 1
32,3,30 -> 1
33,0,43 -> 1
33,1,23 -> 1
33,2,35 -> 1
33,3,31 -> 1
32,5,32 -> 1
33,5,33 -> 1
32,6,32 -> 1
33,6,33 -> 1
34,0,44 -> 1
34,1,24 -> 1
34,2,36 -> 1
34,3,32 -> 1
35,0,45 -> 1
35,1,25 -> 1
35,2,37 -> 1
35,3,33 -> 1
34,5,34 -> 1
35,5,35 -> 1
34,6,34 -> 1
35,6,35 -> 1
36,0,46 -> 1
36,1,26 -> 1
36,2,38 -> 1
36,3,34 -> 1
37,0,47 -> 1
37,1,27 -> 1
37,2,39 -> 1
37,3,35 -> 1
36,5,36 -> 1
37,5,37 -> 1
36,6,36 -> 1
37,6,37 -> 1
38,0,48 -> 1
38,1,28 -> 1
38,2,50 -> 1
38,3,36 -> 1
39,0,49 -> 1
39,1,29 -> 1
39,2,50 -> 1
39,3,37 -> 1
38,5,38 -> 1
39,5,39 -> 1
38,6,38 -> 1
39,6,39 -> 1
40,0,40 -> 1
40,1,30 -> 1
40,2,42 -> 1
40,3,40 -> 1
41,0,41 -> 1
41,1,31 -> 1
41,2,43 -> 1
41,3,41 -> 1
40,4,40 -> 1
41,4,40 -> pt_1.0
41,4,41 -> 1-pt_1.0
40,5,40 -> 1
41,5,41 -> 1
40,6,40 -> 1
41,6,41 -> 1
42,0,42 -> 1
42,1,32 -> 1
42,2,44 -> 1
42,3,40 -> 1
43,0,43 -> 1
43,1,33 -> 1
43,2,45 -> 1
43,3,41 -> 1
42,5,42 -> 1
43,5,43 -> 1
42,6,42 -> 1
43,6,43 -> 1
44,0,44 -> 1
44,1,34 -> 1
44,2,46 -> 1
44,3,42 -> 1
45,0,45 -> 1
45,1,35 -> 1
45,2,47 -> 1
45,3,43 -> 1
44,5,44 -> 1
45,5,45 -> 1
44,6,44 -> 1
45,6,45 -> 1
46,0,46 -> 1
46,1,36 -> 1
46,2,48 -> 1
46,3,44 -> 1
47,0,47 -> 1
47,1,37 -> 1
47,2,49 -> 1
47,3,45 -> 1
46,5,46 -> 1
47,5,47 -> 1
46,6,46 -> 1
47,6,47 -> 1
48,0,48 -> 1
48,1,38 -> 1
48,2,50 -> 1
48,3,46 -> 1
49,0,49 -> 1
49,1,39 -> 1
49,2,50 -> 1
49,3,47 -> 1
48,5,48 -> 1
49,5,49 -> 1
48,6,48 -> 1
49,6,49 -> 1
50,_,50 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
0,16,2 -> 1
0,17,2 -> 1
0,18,2 -> 1
0,19,2 -> 1
0,20,2 -> 1
0,21,2 -> 1
0,22,2 -> 1
0,23,2 -> 1
0,24,2 -> 1
0,25,2 -> 1
0,26,2 -> 1
0,27,2 -> 1
0,28,2 -> 1
0,29,2 -> 1
0,30,2 -> 1
0,31,2 -> 1
0,32,2 -> 1
0,33,2 -> 1
0,34,2 -> 1
0,35,2 -> 1
0,36,2 -> 1
0,37,2 -> 1
0,38,2 -> 1
0,39,2 -> 1
0,40,2 -> 1
0,41,2 -> 1
0,42,2 -> 1
0,43,2 -> 1
0,44,2 -> 1
0,45,2 -> 1
0,46,2 -> 1
0,47,2 -> 1
0,48,2 -> 1
0,49,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
1,16,2 -> 1
1,17,2 -> 1
1,18,2 -> 1
1,19,2 -> 1
1,20,2 -> 1
1,21,2 -> 1
1,22,2 -> 1
1,23,2 -> 1
1,24,2 -> 1
1,25,2 -> 1
1,26,2 -> 1
1,27,2 -> 1
1,28,2 -> 1
1,29,2 -> 1
1,30,2 -> 1
1,31,2 -> 1
1,32,2 -> 1
1,33,2 -> 1
1,34,2 -> 1
1,35,2 -> 1
1,36,2 -> 1
1,37,2 -> 1
1,38,2 -> 1
1,39,2 -> 1
1,40,2 -> 1
1,41,2 -> 1
1,42,2 -> 1
1,43,2 -> 1
1,44,2 -> 1
1,45,2 -> 1
1,46,2 -> 1
1,47,2 -> 1
1,48,2 -> 1
1,49,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
2,16,2 -> 1
2,17,2 -> 1
2,18,2 -> 1
2,19,2 -> 1
2,20,2 -> 1
2,21,2 -> 1
2,22,2 -> 1
2,23,2 -> 1
2,24,2 -> 1
2,25,2 -> 1
2,26,2 -> 1
2,27,2 -> 1
2,28,2 -> 1
2,29,2 -> 1
2,30,2 -> 1
2,31,2 -> 1
2,32,2 -> 1
2,33,2 -> 1
2,34,2 -> 1
2,35,2 -> 1
2,36,2 -> 1
2,37,2 -> 1
2,38,2 -> 1
2,39,2 -> 1
2,40,2 -> 1
2,41,2 -> 1
2,42,2 -> 1
2,43,2 -> 1
2,44,2 -> 1
2,45,2 -> 1
2,46,2 -> 1
2,47,2 -> 1
2,48,2 -> 1
2,49,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
3,16,2 -> 1
3,17,2 -> 1
3,18,2 -> 1
3,19,2 -> 1
3,20,2 -> 1
3,21,2 -> 1
3,22,2 -> 1
3,23,2 -> 1
3,24,2 -> 1
3,25,2 -> 1
3,26,2 -> 1
3,27,2 -> 1
3,28,2 -> 1
3,29,2 -> 1
3,30,2 -> 1
3,31,2 -> 1
3,32,2 -> 1
3,33,2 -> 1
3,34,2 -> 1
3,35,2 -> 1
3,36,2 -> 1
3,37,2 -> 1
3,38,2 -> 1
3,39,2 -> 1
3,40,2 -> 1
3,41,2 -> 1
3,42,2 -> 1
3,43,2 -> 1
3,44,2 -> 1
3,45,2 -> 1
3,46,2 -> 1
3,47,2 -> 1
3,48,2 -> 1
3,49,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
4,32,2 -> 1
4,33,2 -> 1
4,34,2 -> 1
4,35,2 -> 1
4,36,2 -> 1
4,37,2 -> 1
4,38,2 -> 1
4,39,2 -> 1
4,40,2 -> 1
4,41,2 -> 1
4,42,2 -> 1
4,43,2 -> 1
4,44,2 -> 1
4,45,2 -> 1
4,46,2 -> 1
4,47,2 -> 1
4,48,2 -> 1
4,49,2 -> 1
5,0,1 -> po_0.0_0
5,0,0 -> 1-po_0.0_0
5,1,1 -> po_0.1_0
5,1,0 -> 1-po_0.1_0
5,2,1 -> po_0.0_1
5,2,0 -> 1-po_0.0_1
5,3,1 -> po_0.1_1
5,3,0 -> 1-po_0.1_1
5,4,1 -> po_0.0_2
5,4,0 -> 1-po_0.0_2
5,5,1 -> po_0.1_2
5,5,0 -> 1-po_0.1_2
5,6,1 -> po_0.0_3
5,6,0 -> 1-po_0.0_3
5,7,1 -> po_0.1_3
5,7,0 -> 1-po_0.1_3
5,8,1 -> po_0.0_4
5,8,0 -> 1-po_0.0_4
5,9,1 -> po_0.1_4
5,9,0 -> 1-po_0.1_4
5,10,1 -> po_0.0_5
5,10,0 -> 1-po_0.0_5
5,11,1 -> po_0.1_5
5,11,0 -> 1-po_0.1_5
5,12,1 -> po_0.0_6
5,12,0 -> 1-po_0.0_6
5,13,1 -> po_0.1_6
5,13,0 -> 1-po_0.1_6
5,14,1 -> po_0.0_7
5,14,0 -> 1-po_0.0_7
5,15,1 -> po_0.1_7
5,15,0 -> 1-po_0.1_7
5,16,1 -> po_0.0_8
5,16,0 -> 1-po_0.0_8
5,17,1 -> po_0.1_8
5,17,0 -> 1-po_0.1_8
5,18,1 -> po_0.0_3
5,18,0 -> 1-po_0.0_3
5,19,1 -> po_0.1_3
5,19,0 -> 1-po_0.1_3
5,20,1 -> po_0.0_9
5,20,0 -> 1-po_0.0_9
5,21,1 -> po_0.1_9
5,21,0 -> 1-po_0.1_9
5,22,1 -> po_0.0_10
5,22,0 -> 1-po_0.0_10
5,23,1 -> po_0.1_10
5,23,0 -> 1-po_0.1_10
5,24,1 -> po_0.0_11
5,24,0 -> 1-po_0.0_11
5,25,1 -> po_0.1_11
5,25,0 -> 1-po_0.1_11
5,26,1 -> po_0.0_7
5,26,0 -> 1-po_0.0_7
5,27,1 -> po_0.1_7
5,27,0 -> 1-po_0.1_7
5,28,1 -> po_0.0_2
5,28,0 -> 1-po_0.0_2
5,29,1 -> po_0.1_2
5,29,0 -> 1-po_0.1_2
5,30,1 -> po_0.0_12
5,30,0 -> 1-po_0.0_12
5,31,1 -> po_0.1_12
5,31,0 -> 1-po_0.1_12
5,32,1 -> po_0.0_13
5,32,0 -> 1-po_0.0_13
5,33,1 -> po_0.1_13
5,33,0 -> 1-po_0.1_13
5,34,1 -> po_0.0_10
5,34,0 -> 1-po_0.0_10
5,35,1 -> po_0.1_10
5,35,0 -> 1-po_0.1_10
5,36,1 -> po_0.0_6
5,36,0 -> 1-po_0.0_6
5,37,1 -> po_0.1_6
5,37,0 -> 1-po_0.1_6
5,38,1 -> po_0.0_1
5,38,0 -> 1-po_0.0_1
5,39,1 -> po_0.1_1
5,39,0 -> 1-po_0.1_1
5,40,1 -> po_0.0_14
5,40,0 -> 1-po_0.0_14
5,41,1 -> po_0.1_14
5,41,0 -> 1-po_0.1_14
5,42,1 -> po_0.0_12
5,42,0 -> 1-po_0.0_12
5,43,1 -> po_0.1_12
5,43,0 -> 1-po_0.1_12
5,44,1 -> po_0.0_9
5,44,0 -> 1-po_0.0_9
5,45,1 -> po_0.1_9
5,45,0 -> 1-po_0.1_9
5,46,1 -> po_0.0_5
5,46,0 -> 1-po_0.0_5
5,47,1 -> po_0.1_5
5,47,0 -> 1-po_0.1_5
5,48,1 -> po_0.0_0
5,48,0 -> 1-po_0.0_0
5,49,1 -> po_0.1_0
5,49,0 -> 1-po_0.1_0
6,0,1 -> po_1.0_0
6,0,0 -> 1-po_1.0_0
6,1,1 -> po_1.1_0
6,1,0 -> 1-po_1.1_0
6,2,1 -> po_1.0_5
6,2,0 -> 1-po_1.0_5
6,3,1 -> po_1.1_5
6,3,0 -> 1-po_1.1_5
6,4,1 -> po_1.0_9
6,4,0 -> 1-po_1.0_9
6,5,1 -> po_1.1_9
6,5,0 -> 1-po_1.1_9
6,6,1 -> po_1.0_12
6,6,0 -> 1-po_1.0_12
6,7,1 -> po_1.1_12
6,7,0 -> 1-po_1.1_12
6,8,1 -> po_1.0_14
6,8,0 -> 1-po_1.0_14
6,9,1 -> po_1.1_14
6,9,0 -> 1-po_1.1_14
6,10,1 -> po_1.0_1
6,10,0 -> 1-po_1.0_1
6,11,1 -> po_1.1_1
6,11,0 -> 1-po_1.1_1
6,12,1 -> po_1.0_6
6,12,0 -> 1-po_1.0_6
6,13,1 -> po_1.1_6
6,13,0 -> 1-po_1.1_6
6,14,1 -> po_1.0_10
6,14,0 -> 1-po_1.0_10
6,15,1 -> po_1.1_10
6,15,0 -> 1-po_1.1_10
6,16,1 -> po_1.0_13
6,16,0 -> 1-po_1.0_13
6,17,1 -> po_1.1_13
6,17,0 -> 1-po_1.1_13
6,18,1 -> po_1.0_12
6,18,0 -> 1-po_1.0_12
6,19,1 -> po_1.1_12
6,19,0 -> 1-po_1.1_12
6,20,1 -> po_1.0_2
6,20,0 -> 1-po_1.0_2
6,21,1 -> po_1.1_2
6,21,0 -> 1-po_1.1_2
6,22,1 -> po_1.0_7
6,22,0 -> 1-po_1.0_7
6,23,1 -> po_1.1_7
6,23,0 -> 1-po_1.1_7
6,24,1 -> po_1.0_11
6,24,0 -> 1-po_1.0_11
6,25,1 -> po_1.1_11
6,25,0 -> 1-po_1.1_11
6,26,1 -> po_1.0_10
6,26,0 -> 1-po_1.0_10
6,27,1 -> po_1.1_10
6,27,0 -> 1-po_1.1_10
6,28,1 -> po_1.0_9
6,28,0 -> 1-po_1.0_9
6,29,1 -> po_1.1_9
6,29,0 -> 1-po_1.1_9
6,30,1 -> po_1.0_3
6,30,0 -> 1-po_1.0_3
6,31,1 -> po_1.1_3
6,31,0 -> 1-po_1.1_3
6,32,1 -> po_1.0_8
6,32,0 -> 1-po_1.0_8
6,33,1 -> po_1.1_8
6,33,0 -> 1-po_1.1_8
6,34,1 -> po_1.0_7
6,34,0 -> 1-po_1.0_7
6,35,1 -> po_1.1_7
6,35,0 -> 1-po_1.1_7
6,36,1 -> po_1.0_6
6,36,0 -> 1-po_1.0_6
6,37,1 -> po_1.1_6
6,37,0 -> 1-po_1.1_6
6,38,1 -> po_1.0_5
6,38,0 -> 1-po_1.0_5
6,39,1 -> po_1.1_5
6,39,0 -> 1-po_1.1_5
6,40,1 -> po_1.0_4
6,40,0 -> 1-po_1.0_4
6,41,1 -> po_1.1_4
6,41,0 -> 1-po_1.1_4
6,42,1 -> po_1.0_3
6,42,0 -> 1-po_1.0_3
6,43,1 -> po_1.1_3
6,43,0 -> 1-po_1.1_3
6,44,1 -> po_1.0_2
6,44,0 -> 1-po_1.0_2
6,45,1 -> po_1.1_2
6,45,0 -> 1-po_1.1_2
6,46,1 -> po_1.0_1
6,46,0 -> 1-po_1.0_1
6,47,1 -> po_1.1_1
6,47,0 -> 1-po_1.1_1
6,48,1 -> po_1.0_0
6,48,0 -> 1-po_1.0_0
6,49,1 -> po_1.1_0
6,49,0 -> 1-po_1.1_0
_,50,2 -> 1

# Reward function (s,a -> r)
8,4 -> r_0.0
9,4 -> r_0.1
8,2 -> 10
9,2 -> 10
18,2 -> 10
19,2 -> 10
28,2 -> 10
29,2 -> 10
38,2 -> 10
39,2 -> 10
40,4 -> r_1.0
41,4 -> r_1.1
48,2 -> 10
49,2 -> 10

# Initial beliefs (s -> p)
1 -> 1
