33, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s0.2-b, s0.2-g, s0.3-b, s0.3-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, s1.2-b, s1.2-g, s1.3-b, s1.3-g, s2.0-b, s2.0-g, s2.1-b, s2.1-g, s2.2-b, s2.2-g, s2.3-b, s2.3-g, s3.0-b, s3.0-g, s3.1-b, s3.1-g, s3.2-b, s3.2-g, s3.3-b, s3.3-g, exit]
3, [e-gbb, e-bgb, e-bbg]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

69, [pt_0.0, pt_1.0, pt_2.0, po_0.0_0, po_0.0_1, po_0.0_2, po_0.0_3, po_0.0_4, po_0.0_5, po_0.0_6, po_0.0_7, po_0.0_8, po_0.0_9, po_0.1_0, po_0.1_1, po_0.1_2, po_0.1_3, po_0.1_4, po_0.1_5, po_0.1_6, po_0.1_7, po_0.1_8, po_0.1_9, po_1.0_0, po_1.0_1, po_1.0_2, po_1.0_3, po_1.0_4, po_1.0_5, po_1.0_6, po_1.0_7, po_1.0_8, po_1.0_9, po_1.1_0, po_1.1_1, po_1.1_2, po_1.1_3, po_1.1_4, po_1.1_5, po_1.1_6, po_1.1_7, po_1.1_8, po_1.1_9, po_2.0_0, po_2.0_1, po_2.0_2, po_2.0_3, po_2.0_4, po_2.0_5, po_2.0_6, po_2.0_7, po_2.0_8, po_2.0_9, po_2.1_0, po_2.1_1, po_2.1_2, po_2.1_3, po_2.1_4, po_2.1_5, po_2.1_6, po_2.1_7, po_2.1_8, po_2.1_9, r_0.0, r_0.1, r_1.0, r_1.1, r_2.0, r_2.1]
[1, 0, 0, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.676776, 0.75, 0.853554, 1.0, 0.667109, 0.73036, 0.806274, 0.643312, 0.687607, 0.614918, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, -10, 10, -10, -10, -10, -10]
[0, 1, 0, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.676776, 0.75, 0.853554, 1.0, 0.667109, 0.73036, 0.806274, 0.643312, 0.687607, 0.614918, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, -10, -10, -10, 10, -10, -10]
[0, 0, 1, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.676776, 0.75, 0.853554, 1.0, 0.667109, 0.73036, 0.806274, 0.643312, 0.687607, 0.614918, -10, -10, -10, -10, -10, 10]

# Transition function (s,a,s -> p)
24,4,24 -> 1
25,4,24 -> pt_1.0
25,4,25 -> 1-pt_1.0
24,5,24 -> 1
25,5,25 -> 1
24,6,24 -> 1
25,6,25 -> 1
24,7,24 -> 1
25,7,25 -> 1
26,0,26 -> 1
26,1,18 -> 1
26,2,28 -> 1
26,3,24 -> 1
27,0,27 -> 1
27,1,19 -> 1
27,2,29 -> 1
27,3,25 -> 1
26,5,26 -> 1
27,5,27 -> 1
26,6,26 -> 1
27,6,27 -> 1
26,7,26 -> 1
27,7,27 -> 1
28,0,28 -> 1
28,1,20 -> 1
28,2,30 -> 1
28,3,26 -> 1
29,0,29 -> 1
29,1,21 -> 1
29,2,31 -> 1
29,3,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
28,6,28 -> 1
29,6,29 -> 1
28,7,28 -> 1
29,7,29 -> 1
30,0,30 -> 1
30,1,22 -> 1
30,2,32 -> 1
30,3,28 -> 1
31,0,31 -> 1
31,1,23 -> 1
31,2,32 -> 1
31,3,29 -> 1
30,4,30 -> 1
31,4,30 -> pt_2.0
31,4,31 -> 1-pt_2.0
30,5,30 -> 1
31,5,31 -> 1
30,6,30 -> 1
31,6,31 -> 1
30,7,30 -> 1
31,7,31 -> 1
32,_,32 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
0,16,2 -> 1
0,17,2 -> 1
0,18,2 -> 1
0,19,2 -> 1
0,20,2 -> 1
0,21,2 -> 1
0,22,2 -> 1
0,23,2 -> 1
0,24,2 -> 1
0,25,2 -> 1
0,26,2 -> 1
0,27,2 -> 1
0,28,2 -> 1
0,29,2 -> 1
0,30,2 -> 1
0,31,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
1,16,2 -> 1
1,17,2 -> 1
1,18,2 -> 1
1,19,2 -> 1
1,20,2 -> 1
1,21,2 -> 1
1,22,2 -> 1
1,23,2 -> 1
1,24,2 -> 1
1,25,2 -> 1
1,26,2 -> 1
1,27,2 -> 1
1,28,2 -> 1
1,29,2 -> 1
1,30,2 -> 1
1,31,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
2,16,2 -> 1
2,17,2 -> 1
2,18,2 -> 1
2,19,2 -> 1
2,20,2 -> 1
2,21,2 -> 1
2,22,2 -> 1
2,23,2 -> 1
2,24,2 -> 1
2,25,2 -> 1
2,26,2 -> 1
2,27,2 -> 1
2,28,2 -> 1
2,29,2 -> 1
2,30,2 -> 1
2,31,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
3,16,2 -> 1
3,17,2 -> 1
3,18,2 -> 1
3,19,2 -> 1
3,20,2 -> 1
3,21,2 -> 1
3,22,2 -> 1
3,23,2 -> 1
3,24,2 -> 1
3,25,2 -> 1
3,26,2 -> 1
3,27,2 -> 1
3,28,2 -> 1
3,29,2 -> 1
3,30,2 -> 1
3,31,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
5,0,1 -> po_0.0_0
5,0,0 -> 1-po_0.0_0
5,1,1 -> po_0.1_0
5,1,0 -> 1-po_0.1_0
5,2,1 -> po_0.0_1
5,2,0 -> 1-po_0.0_1
5,3,1 -> po_0.1_1
5,3,0 -> 1-po_0.1_1
5,4,1 -> po_0.0_2
5,4,0 -> 1-po_0.0_2
5,5,1 -> po_0.1_2
5,5,0 -> 1-po_0.1_2
5,6,1 -> po_0.0_3
5,6,0 -> 1-po_0.0_3
5,7,1 -> po_0.1_3
5,7,0 -> 1-po_0.1_3
5,8,1 -> po_0.0_4
5,8,0 -> 1-po_0.0_4
5,9,1 -> po_0.1_4
5,9,0 -> 1-po_0.1_4
5,10,1 -> po_0.0_5
5,10,0 -> 1-po_0.0_5
5,11,1 -> po_0.1_5
5,11,0 -> 1-po_0.1_5
5,12,1 -> po_0.0_6
5,12,0 -> 1-po_0.0_6
5,13,1 -> po_0.1_6
5,13,0 -> 1-po_0.1_6
5,14,1 -> po_0.0_2
5,14,0 -> 1-po_0.0_2
5,15,1 -> po_0.1_2
5,15,0 -> 1-po_0.1_2
5,16,1 -> po_0.0_7
5,16,0 -> 1-po_0.0_7
5,17,1 -> po_0.1_7
5,17,0 -> 1-po_0.1_7
5,18,1 -> po_0.0_8
5,18,0 -> 1-po_0.0_8
5,19,1 -> po_0.1_8
5,19,0 -> 1-po_0.1_8
5,20,1 -> po_0.0_5
5,20,0 -> 1-po_0.0_5
5,21,1 -> po_0.1_5
5,21,0 -> 1-po_0.1_5
5,22,1 -> po_0.0_1
5,22,0 -> 1-po_0.0_1
5,23,1 -> po_0.1_1
5,23,0 -> 1-po_0.1_1
5,24,1 -> po_0.0_9
5,24,0 -> 1-po_0.0_9
5,25,1 -> po_0.1_9
5,25,0 -> 1-po_0.1_9
5,26,1 -> po_0.0_7
5,26,0 -> 1-po_0.0_7
5,27,1 -> po_0.1_7
5,27,0 -> 1-po_0.1_7
5,28,1 -> po_0.0_4
5,28,0 -> 1-po_0.0_4
5,29,1 -> po_0.1_4
5,29,0 -> 1-po_0.1_4
5,30,1 -> po_0.0_0
5,30,0 -> 1-po_0.0_0
5,31,1 -> po_0.1_0
5,31,0 -> 1-po_0.1_0
6,0,1 -> po_1.0_0
6,0,0 -> 1-po_1.0_0
6,1,1 -> po_1.1_0
6,1,0 -> 1-po_1.1_0
6,2,1 -> po_1.0_4
6,2,0 -> 1-po_1.0_4
6,3,1 -> po_1.1_4
6,3,0 -> 1-po_1.1_4
6,4,1 -> po_1.0_7
6,4,0 -> 1-po_1.0_7
6,5,1 -> po_1.1_7
6,5,0 -> 1-po_1.1_7
6,6,1 -> po_1.0_9
6,6,0 -> 1-po_1.0_9
6,7,1 -> po_1.1_9
6,7,0 -> 1-po_1.1_9
6,8,1 -> po_1.0_1
6,8,0 -> 1-po_1.0_1
6,9,1 -> po_1.1_1
6,9,0 -> 1-po_1.1_1
6,10,1 -> po_1.0_5
6,10,0 -> 1-po_1.0_5
6,11,1 -> po_1.1_5
6,11,0 -> 1-po_1.1_5
6,12,1 -> po_1.0_8
6,12,0 -> 1-po_1.0_8
6,13,1 -> po_1.1_8
6,13,0 -> 1-po_1.1_8
6,14,1 -> po_1.0_7
6,14,0 -> 1-po_1.0_7
6,15,1 -> po_1.1_7
6,15,0 -> 1-po_1.1_7
6,16,1 -> po_1.0_2
6,16,0 -> 1-po_1.0_2
6,17,1 -> po_1.1_2
6,17,0 -> 1-po_1.1_2
6,18,1 -> po_1.0_6
6,18,0 -> 1-po_1.0_6
6,19,1 -> po_1.1_6
6,19,0 -> 1-po_1.1_6
6,20,1 -> po_1.0_5
6,20,0 -> 1-po_1.0_5
6,21,1 -> po_1.1_5
6,21,0 -> 1-po_1.1_5
6,22,1 -> po_1.0_4
6,22,0 -> 1-po_1.0_4
6,23,1 -> po_1.1_4
6,23,0 -> 1-po_1.1_4
6,24,1 -> po_1.0_3
6,24,0 -> 1-po_1.0_3
6,25,1 -> po_1.1_3
6,25,0 -> 1-po_1.1_3
6,26,1 -> po_1.0_2
6,26,0 -> 1-po_1.0_2
6,27,1 -> po_1.1_2
6,27,0 -> 1-po_1.1_2
6,28,1 -> po_1.0_1
6,28,0 -> 1-po_1.0_1
6,29,1 -> po_1.1_1
6,29,0 -> 1-po_1.1_1
6,30,1 -> po_1.0_0
6,30,0 -> 1-po_1.0_0
6,31,1 -> po_1.1_0
6,31,0 -> 1-po_1.1_0
7,0,1 -> po_2.0_9
7,0,0 -> 1-po_2.0_9
7,1,1 -> po_2.1_9
7,1,0 -> 1-po_2.1_9
7,2,1 -> po_2.0_7
7,2,0 -> 1-po_2.0_7
7,3,1 -> po_2.1_7
7,3,0 -> 1-po_2.1_7
7,4,1 -> po_2.0_4
7,4,0 -> 1-po_2.0_4
7,5,1 -> po_2.1_4
7,5,0 -> 1-po_2.1_4
7,6,1 -> po_2.0_0
7,6,0 -> 1-po_2.0_0
7,7,1 -> po_2.1_0
7,7,0 -> 1-po_2.1_0
7,8,1 -> po_2.0_7
7,8,0 -> 1-po_2.0_7
7,9,1 -> po_2.1_7
7,9,0 -> 1-po_2.1_7
7,10,1 -> po_2.0_8
7,10,0 -> 1-po_2.0_8
7,11,1 -> po_2.1_8
7,11,0 -> 1-po_2.1_8
7,12,1 -> po_2.0_5
7,12,0 -> 1-po_2.0_5
7,13,1 -> po_2.1_5
7,13,0 -> 1-po_2.1_5
7,14,1 -> po_2.0_1
7,14,0 -> 1-po_2.0_1
7,15,1 -> po_2.1_1
7,15,0 -> 1-po_2.1_1
7,16,1 -> po_2.0_4
7,16,0 -> 1-po_2.0_4
7,17,1 -> po_2.1_4
7,17,0 -> 1-po_2.1_4
7,18,1 -> po_2.0_5
7,18,0 -> 1-po_2.0_5
7,19,1 -> po_2.1_5
7,19,0 -> 1-po_2.1_5
7,20,1 -> po_2.0_6
7,20,0 -> 1-po_2.0_6
7,21,1 -> po_2.1_6
7,21,0 -> 1-po_2.1_6
7,22,1 -> po_2.0_2
7,22,0 -> 1-po_2.0_2
7,23,1 -> po_2.1_2
7,23,0 -> 1-po_2.1_2
7,24,1 -> po_2.0_0
7,24,0 -> 1-po_2.0_0
7,25,1 -> po_2.1_0
7,25,0 -> 1-po_2.1_0
7,26,1 -> po_2.0_1
7,26,0 -> 1-po_2.0_1
7,27,1 -> po_2.1_1
7,27,0 -> 1-po_2.1_1
7,28,1 -> po_2.0_2
7,28,0 -> 1-po_2.0_2
7,29,1 -> po_2.1_2
7,29,0 -> 1-po_2.1_2
7,30,1 -> po_2.0_3
7,30,0 -> 1-po_2.0_3
7,31,1 -> po_2.1_3
7,31,0 -> 1-po_2.1_3
_,32,2 -> 1

# Reward function (s,a -> r)
6,4 -> r_0.0
7,4 -> r_0.1
6,2 -> 10
7,2 -> 10
14,2 -> 10
15,2 -> 10
22,2 -> 10
23,2 -> 10
24,4 -> r_1.0
25,4 -> r_1.1
30,4 -> r_2.0
31,4 -> r_2.1
30,2 -> 10
31,2 -> 10

# Initial beliefs (s -> p)
1 -> 1
