73, [s0.0-b.b.b, s0.0-b.b.g, s0.0-b.g.b, s0.0-b.g.g, s0.0-g.b.b, s0.0-g.b.g, s0.0-g.g.b, s0.0-g.g.g, s0.1-b.b.b, s0.1-b.b.g, s0.1-b.g.b, s0.1-b.g.g, s0.1-g.b.b, s0.1-g.b.g, s0.1-g.g.b, s0.1-g.g.g, s0.2-b.b.b, s0.2-b.b.g, s0.2-b.g.b, s0.2-b.g.g, s0.2-g.b.b, s0.2-g.b.g, s0.2-g.g.b, s0.2-g.g.g, s1.0-b.b.b, s1.0-b.b.g, s1.0-b.g.b, s1.0-b.g.g, s1.0-g.b.b, s1.0-g.b.g, s1.0-g.g.b, s1.0-g.g.g, s1.1-b.b.b, s1.1-b.b.g, s1.1-b.g.b, s1.1-b.g.g, s1.1-g.b.b, s1.1-g.b.g, s1.1-g.g.b, s1.1-g.g.g, s1.2-b.b.b, s1.2-b.b.g, s1.2-b.g.b, s1.2-b.g.g, s1.2-g.b.b, s1.2-g.b.g, s1.2-g.g.b, s1.2-g.g.g, s2.0-b.b.b, s2.0-b.b.g, s2.0-b.g.b, s2.0-b.g.g, s2.0-g.b.b, s2.0-g.b.g, s2.0-g.g.b, s2.0-g.g.g, s2.1-b.b.b, s2.1-b.b.g, s2.1-b.g.b, s2.1-b.g.g, s2.1-g.b.b, s2.1-g.b.g, s2.1-g.g.b, s2.1-g.g.g, s2.2-b.b.b, s2.2-b.b.g, s2.2-b.g.b, s2.2-b.g.g, s2.2-g.b.b, s2.2-g.b.g, s2.2-g.g.b, s2.2-g.g.g, exit]
1, [e1]
9, [North, South, East, West, Sample, Check0, Check1, Check2, Check3]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
16,0,40 -> 1
16,1,16 -> 1
16,2,72 -> 1
16,3,8 -> 1
17,0,41 -> 1
17,1,17 -> 1
17,2,72 -> 1
17,3,9 -> 1
18,0,42 -> 1
18,1,18 -> 1
18,2,72 -> 1
18,3,10 -> 1
19,0,43 -> 1
19,1,19 -> 1
19,2,72 -> 1
19,3,11 -> 1
20,0,44 -> 1
20,1,20 -> 1
20,2,72 -> 1
20,3,12 -> 1
21,0,45 -> 1
21,1,21 -> 1
21,2,72 -> 1
21,3,13 -> 1
22,0,46 -> 1
22,1,22 -> 1
22,2,72 -> 1
22,3,14 -> 1
23,0,47 -> 1
23,1,23 -> 1
23,2,72 -> 1
23,3,15 -> 1
16,4,16 -> 1
17,4,16 -> 1
17,4,17 -> 0
18,4,16 -> 0
18,4,18 -> 1
19,4,17 -> 0
19,4,16 -> 1
19,4,19 -> 0
20,4,16 -> 0
20,4,20 -> 1
21,4,17 -> 0
21,4,16 -> 1
21,4,21 -> 0
22,4,18 -> 0
22,4,16 -> 0
22,4,22 -> 1
23,4,19 -> 0
23,4,17 -> 0
23,4,16 -> 1
23,4,23 -> 0
16,5,16 -> 1
17,5,17 -> 1
18,5,18 -> 1
19,5,19 -> 1
20,5,20 -> 1
21,5,21 -> 1
22,5,22 -> 1
23,5,23 -> 1
16,6,16 -> 1
17,6,17 -> 1
18,6,18 -> 1
19,6,19 -> 1
20,6,20 -> 1
21,6,21 -> 1
22,6,22 -> 1
23,6,23 -> 1
16,7,16 -> 1
17,7,17 -> 1
18,7,18 -> 1
19,7,19 -> 1
20,7,20 -> 1
21,7,21 -> 1
22,7,22 -> 1
23,7,23 -> 1
16,8,16 -> 1
17,8,17 -> 1
18,8,18 -> 1
19,8,19 -> 1
20,8,20 -> 1
21,8,21 -> 1
22,8,22 -> 1
23,8,23 -> 1
24,0,48 -> 1
24,1,0 -> 1
24,2,32 -> 1
24,3,24 -> 1
25,0,49 -> 1
25,1,1 -> 1
25,2,33 -> 1
25,3,25 -> 1
26,0,50 -> 1
26,1,2 -> 1
26,2,34 -> 1
26,3,26 -> 1
27,0,51 -> 1
27,1,3 -> 1
27,2,35 -> 1
27,3,27 -> 1
28,0,52 -> 1
28,1,4 -> 1
28,2,36 -> 1
28,3,28 -> 1
29,0,53 -> 1
29,1,5 -> 1
29,2,37 -> 1
29,3,29 -> 1
30,0,54 -> 1
30,1,6 -> 1
30,2,38 -> 1
30,3,30 -> 1
31,0,55 -> 1
31,1,7 -> 1
31,2,39 -> 1
31,3,31 -> 1
24,5,24 -> 1
25,5,25 -> 1
26,5,26 -> 1
27,5,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
30,5,30 -> 1
31,5,31 -> 1
24,6,24 -> 1
25,6,25 -> 1
26,6,26 -> 1
27,6,27 -> 1
28,6,28 -> 1
29,6,29 -> 1
30,6,30 -> 1
31,6,31 -> 1
24,7,24 -> 1
25,7,25 -> 1
26,7,26 -> 1
27,7,27 -> 1
28,7,28 -> 1
29,7,29 -> 1
30,7,30 -> 1
31,7,31 -> 1
24,8,24 -> 1
25,8,25 -> 1
26,8,26 -> 1
27,8,27 -> 1
28,8,28 -> 1
29,8,29 -> 1
30,8,30 -> 1
31,8,31 -> 1
32,0,56 -> 1
32,1,8 -> 1
32,2,40 -> 1
32,3,24 -> 1
33,0,57 -> 1
33,1,9 -> 1
33,2,41 -> 1
33,3,25 -> 1
34,0,58 -> 1
34,1,10 -> 1
34,2,42 -> 1
34,3,26 -> 1
35,0,59 -> 1
35,1,11 -> 1
35,2,43 -> 1
35,3,27 -> 1
36,0,60 -> 1
36,1,12 -> 1
36,2,44 -> 1
36,3,28 -> 1
37,0,61 -> 1
37,1,13 -> 1
37,2,45 -> 1
37,3,29 -> 1
38,0,62 -> 1
38,1,14 -> 1
38,2,46 -> 1
38,3,30 -> 1
39,0,63 -> 1
39,1,15 -> 1
39,2,47 -> 1
39,3,31 -> 1
32,5,32 -> 1
33,5,33 -> 1
34,5,34 -> 1
35,5,35 -> 1
36,5,36 -> 1
37,5,37 -> 1
38,5,38 -> 1
39,5,39 -> 1
32,6,32 -> 1
33,6,33 -> 1
34,6,34 -> 1
35,6,35 -> 1
36,6,36 -> 1
37,6,37 -> 1
38,6,38 -> 1
39,6,39 -> 1
32,7,32 -> 1
33,7,33 -> 1
34,7,34 -> 1
35,7,35 -> 1
36,7,36 -> 1
37,7,37 -> 1
38,7,38 -> 1
39,7,39 -> 1
32,8,32 -> 1
33,8,33 -> 1
34,8,34 -> 1
35,8,35 -> 1
36,8,36 -> 1
37,8,37 -> 1
38,8,38 -> 1
39,8,39 -> 1
40,0,64 -> 1
40,1,16 -> 1
40,2,72 -> 1
40,3,32 -> 1
41,0,65 -> 1
41,1,17 -> 1
41,2,72 -> 1
41,3,33 -> 1
42,0,66 -> 1
42,1,18 -> 1
42,2,72 -> 1
42,3,34 -> 1
43,0,67 -> 1
43,1,19 -> 1
43,2,72 -> 1
43,3,35 -> 1
44,0,68 -> 1
44,1,20 -> 1
44,2,72 -> 1
44,3,36 -> 1
45,0,69 -> 1
45,1,21 -> 1
45,2,72 -> 1
45,3,37 -> 1
46,0,70 -> 1
46,1,22 -> 1
46,2,72 -> 1
46,3,38 -> 1
47,0,71 -> 1
47,1,23 -> 1
47,2,72 -> 1
47,3,39 -> 1
40,4,40 -> 1
41,4,40 -> 0
41,4,41 -> 1
42,4,40 -> 1
42,4,42 -> 0
43,4,41 -> 1
43,4,40 -> 0
43,4,43 -> 0
44,4,40 -> 0
44,4,44 -> 1
45,4,41 -> 0
45,4,40 -> 0
45,4,45 -> 1
46,4,42 -> 0
46,4,40 -> 1
46,4,46 -> 0
47,4,43 -> 0
47,4,41 -> 1
47,4,40 -> 0
47,4,47 -> 0
40,5,40 -> 1
41,5,41 -> 1
42,5,42 -> 1
43,5,43 -> 1
44,5,44 -> 1
45,5,45 -> 1
46,5,46 -> 1
47,5,47 -> 1
40,6,40 -> 1
41,6,41 -> 1
42,6,42 -> 1
43,6,43 -> 1
44,6,44 -> 1
45,6,45 -> 1
46,6,46 -> 1
47,6,47 -> 1
40,7,40 -> 1
41,7,41 -> 1
42,7,42 -> 1
43,7,43 -> 1
44,7,44 -> 1
45,7,45 -> 1
46,7,46 -> 1
47,7,47 -> 1
40,8,40 -> 1
41,8,41 -> 1
42,8,42 -> 1
43,8,43 -> 1
44,8,44 -> 1
45,8,45 -> 1
46,8,46 -> 1
47,8,47 -> 1
48,0,48 -> 1
48,1,24 -> 1
48,2,56 -> 1
48,3,48 -> 1
49,0,49 -> 1
49,1,25 -> 1
49,2,57 -> 1
49,3,49 -> 1
50,0,50 -> 1
50,1,26 -> 1
50,2,58 -> 1
50,3,50 -> 1
51,0,51 -> 1
51,1,27 -> 1
51,2,59 -> 1
51,3,51 -> 1
52,0,52 -> 1
52,1,28 -> 1
52,2,60 -> 1
52,3,52 -> 1
53,0,53 -> 1
53,1,29 -> 1
53,2,61 -> 1
53,3,53 -> 1
54,0,54 -> 1
54,1,30 -> 1
54,2,62 -> 1
54,3,54 -> 1
55,0,55 -> 1
55,1,31 -> 1
55,2,63 -> 1
55,3,55 -> 1
48,4,48 -> 1
49,4,48 -> 0
49,4,49 -> 1
50,4,48 -> 0
50,4,50 -> 1
51,4,49 -> 0
51,4,48 -> 0
51,4,51 -> 1
52,4,48 -> 1
52,4,52 -> 0
53,4,49 -> 1
53,4,48 -> 0
53,4,53 -> 0
54,4,50 -> 1
54,4,48 -> 0
54,4,54 -> 0
55,4,51 -> 1
55,4,49 -> 0
55,4,48 -> 0
55,4,55 -> 0
48,5,48 -> 1
49,5,49 -> 1
50,5,50 -> 1
51,5,51 -> 1
52,5,52 -> 1
53,5,53 -> 1
54,5,54 -> 1
55,5,55 -> 1
48,6,48 -> 1
49,6,49 -> 1
50,6,50 -> 1
51,6,51 -> 1
52,6,52 -> 1
53,6,53 -> 1
54,6,54 -> 1
55,6,55 -> 1
48,7,48 -> 1
49,7,49 -> 1
50,7,50 -> 1
51,7,51 -> 1
52,7,52 -> 1
53,7,53 -> 1
54,7,54 -> 1
55,7,55 -> 1
48,8,48 -> 1
49,8,49 -> 1
50,8,50 -> 1
51,8,51 -> 1
52,8,52 -> 1
53,8,53 -> 1
54,8,54 -> 1
55,8,55 -> 1
56,0,56 -> 1
56,1,32 -> 1
56,2,64 -> 1
56,3,48 -> 1
57,0,57 -> 1
57,1,33 -> 1
57,2,65 -> 1
57,3,49 -> 1
58,0,58 -> 1
58,1,34 -> 1
58,2,66 -> 1
58,3,50 -> 1
59,0,59 -> 1
59,1,35 -> 1
59,2,67 -> 1
59,3,51 -> 1
60,0,60 -> 1
60,1,36 -> 1
60,2,68 -> 1
60,3,52 -> 1
61,0,61 -> 1
61,1,37 -> 1
61,2,69 -> 1
61,3,53 -> 1
62,0,62 -> 1
62,1,38 -> 1
62,2,70 -> 1
62,3,54 -> 1
63,0,63 -> 1
63,1,39 -> 1
63,2,71 -> 1
63,3,55 -> 1
56,4,56 -> 1
57,4,56 -> 0
57,4,57 -> 1
58,4,56 -> 0
58,4,58 -> 1
59,4,57 -> 0
59,4,56 -> 0
59,4,59 -> 1
60,4,56 -> 0
60,4,60 -> 1
61,4,57 -> 0
61,4,56 -> 0
61,4,61 -> 1
62,4,58 -> 0
62,4,56 -> 0
62,4,62 -> 1
63,4,59 -> 0
63,4,57 -> 0
63,4,56 -> 0
63,4,63 -> 1
56,5,56 -> 1
57,5,57 -> 1
58,5,58 -> 1
59,5,59 -> 1
60,5,60 -> 1
61,5,61 -> 1
62,5,62 -> 1
63,5,63 -> 1
56,6,56 -> 1
57,6,57 -> 1
58,6,58 -> 1
59,6,59 -> 1
60,6,60 -> 1
61,6,61 -> 1
62,6,62 -> 1
63,6,63 -> 1
56,7,56 -> 1
57,7,57 -> 1
58,7,58 -> 1
59,7,59 -> 1
60,7,60 -> 1
61,7,61 -> 1
62,7,62 -> 1
63,7,63 -> 1
56,8,56 -> 1
57,8,57 -> 1
58,8,58 -> 1
59,8,59 -> 1
60,8,60 -> 1
61,8,61 -> 1
62,8,62 -> 1
63,8,63 -> 1
64,0,64 -> 1
64,1,40 -> 1
64,2,72 -> 1
64,3,56 -> 1
65,0,65 -> 1
65,1,41 -> 1
65,2,72 -> 1
65,3,57 -> 1
66,0,66 -> 1
66,1,42 -> 1
66,2,72 -> 1
66,3,58 -> 1
67,0,67 -> 1
67,1,43 -> 1
67,2,72 -> 1
67,3,59 -> 1
68,0,68 -> 1
68,1,44 -> 1
68,2,72 -> 1
68,3,60 -> 1
69,0,69 -> 1
69,1,45 -> 1
69,2,72 -> 1
69,3,61 -> 1
70,0,70 -> 1
70,1,46 -> 1
70,2,72 -> 1
70,3,62 -> 1
71,0,71 -> 1
71,1,47 -> 1
71,2,72 -> 1
71,3,63 -> 1
64,5,64 -> 1
65,5,65 -> 1
66,5,66 -> 1
67,5,67 -> 1
68,5,68 -> 1
69,5,69 -> 1
70,5,70 -> 1
71,5,71 -> 1
64,6,64 -> 1
65,6,65 -> 1
66,6,66 -> 1
67,6,67 -> 1
68,6,68 -> 1
69,6,69 -> 1
70,6,70 -> 1
71,6,71 -> 1
64,7,64 -> 1
65,7,65 -> 1
66,7,66 -> 1
67,7,67 -> 1
68,7,68 -> 1
69,7,69 -> 1
70,7,70 -> 1
71,7,71 -> 1
64,8,64 -> 1
65,8,65 -> 1
66,8,66 -> 1
67,8,67 -> 1
68,8,68 -> 1
69,8,69 -> 1
70,8,70 -> 1
71,8,71 -> 1
72,_,72 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
0,16,2 -> 1
0,17,2 -> 1
0,18,2 -> 1
0,19,2 -> 1
0,20,2 -> 1
0,21,2 -> 1
0,22,2 -> 1
0,23,2 -> 1
0,24,2 -> 1
0,25,2 -> 1
0,26,2 -> 1
0,27,2 -> 1
0,28,2 -> 1
0,29,2 -> 1
0,30,2 -> 1
0,31,2 -> 1
0,32,2 -> 1
0,33,2 -> 1
0,34,2 -> 1
0,35,2 -> 1
0,36,2 -> 1
0,37,2 -> 1
0,38,2 -> 1
0,39,2 -> 1
0,40,2 -> 1
0,41,2 -> 1
0,42,2 -> 1
0,43,2 -> 1
0,44,2 -> 1
0,45,2 -> 1
0,46,2 -> 1
0,47,2 -> 1
0,48,2 -> 1
0,49,2 -> 1
0,50,2 -> 1
0,51,2 -> 1
0,52,2 -> 1
0,53,2 -> 1
0,54,2 -> 1
0,55,2 -> 1
0,56,2 -> 1
0,57,2 -> 1
0,58,2 -> 1
0,59,2 -> 1
0,60,2 -> 1
0,61,2 -> 1
0,62,2 -> 1
0,63,2 -> 1
0,64,2 -> 1
0,65,2 -> 1
0,66,2 -> 1
0,67,2 -> 1
0,68,2 -> 1
0,69,2 -> 1
0,70,2 -> 1
0,71,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
1,16,2 -> 1
1,17,2 -> 1
1,18,2 -> 1
1,19,2 -> 1
1,20,2 -> 1
1,21,2 -> 1
1,22,2 -> 1
1,23,2 -> 1
1,24,2 -> 1
1,25,2 -> 1
1,26,2 -> 1
1,27,2 -> 1
1,28,2 -> 1
1,29,2 -> 1
1,30,2 -> 1
1,31,2 -> 1
1,32,2 -> 1
1,33,2 -> 1
1,34,2 -> 1
1,35,2 -> 1
1,36,2 -> 1
1,37,2 -> 1
1,38,2 -> 1
1,39,2 -> 1
1,40,2 -> 1
1,41,2 -> 1
1,42,2 -> 1
1,43,2 -> 1
1,44,2 -> 1
1,45,2 -> 1
1,46,2 -> 1
1,47,2 -> 1
1,48,2 -> 1
1,49,2 -> 1
1,50,2 -> 1
1,51,2 -> 1
1,52,2 -> 1
1,53,2 -> 1
1,54,2 -> 1
1,55,2 -> 1
1,56,2 -> 1
1,57,2 -> 1
1,58,2 -> 1
1,59,2 -> 1
1,60,2 -> 1
1,61,2 -> 1
1,62,2 -> 1
1,63,2 -> 1
1,64,2 -> 1
1,65,2 -> 1
1,66,2 -> 1
1,67,2 -> 1
1,68,2 -> 1
1,69,2 -> 1
1,70,2 -> 1
1,71,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
2,16,2 -> 1
2,17,2 -> 1
2,18,2 -> 1
2,19,2 -> 1
2,20,2 -> 1
2,21,2 -> 1
2,22,2 -> 1
2,23,2 -> 1
2,24,2 -> 1
2,25,2 -> 1
2,26,2 -> 1
2,27,2 -> 1
2,28,2 -> 1
2,29,2 -> 1
2,30,2 -> 1
2,31,2 -> 1
2,32,2 -> 1
2,33,2 -> 1
2,34,2 -> 1
2,35,2 -> 1
2,36,2 -> 1
2,37,2 -> 1
2,38,2 -> 1
2,39,2 -> 1
2,40,2 -> 1
2,41,2 -> 1
2,42,2 -> 1
2,43,2 -> 1
2,44,2 -> 1
2,45,2 -> 1
2,46,2 -> 1
2,47,2 -> 1
2,48,2 -> 1
2,49,2 -> 1
2,50,2 -> 1
2,51,2 -> 1
2,52,2 -> 1
2,53,2 -> 1
2,54,2 -> 1
2,55,2 -> 1
2,56,2 -> 1
2,57,2 -> 1
2,58,2 -> 1
2,59,2 -> 1
2,60,2 -> 1
2,61,2 -> 1
2,62,2 -> 1
2,63,2 -> 1
2,64,2 -> 1
2,65,2 -> 1
2,66,2 -> 1
2,67,2 -> 1
2,68,2 -> 1
2,69,2 -> 1
2,70,2 -> 1
2,71,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
3,16,2 -> 1
3,17,2 -> 1
3,18,2 -> 1
3,19,2 -> 1
3,20,2 -> 1
3,21,2 -> 1
3,22,2 -> 1
3,23,2 -> 1
3,24,2 -> 1
3,25,2 -> 1
3,26,2 -> 1
3,27,2 -> 1
3,28,2 -> 1
3,29,2 -> 1
3,30,2 -> 1
3,31,2 -> 1
3,32,2 -> 1
3,33,2 -> 1
3,34,2 -> 1
3,35,2 -> 1
3,36,2 -> 1
3,37,2 -> 1
3,38,2 -> 1
3,39,2 -> 1
3,40,2 -> 1
3,41,2 -> 1
3,42,2 -> 1
3,43,2 -> 1
3,44,2 -> 1
3,45,2 -> 1
3,46,2 -> 1
3,47,2 -> 1
3,48,2 -> 1
3,49,2 -> 1
3,50,2 -> 1
3,51,2 -> 1
3,52,2 -> 1
3,53,2 -> 1
3,54,2 -> 1
3,55,2 -> 1
3,56,2 -> 1
3,57,2 -> 1
3,58,2 -> 1
3,59,2 -> 1
3,60,2 -> 1
3,61,2 -> 1
3,62,2 -> 1
3,63,2 -> 1
3,64,2 -> 1
3,65,2 -> 1
3,66,2 -> 1
3,67,2 -> 1
3,68,2 -> 1
3,69,2 -> 1
3,70,2 -> 1
3,71,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
4,32,2 -> 1
4,33,2 -> 1
4,34,2 -> 1
4,35,2 -> 1
4,36,2 -> 1
4,37,2 -> 1
4,38,2 -> 1
4,39,2 -> 1
4,40,2 -> 1
4,41,2 -> 1
4,42,2 -> 1
4,43,2 -> 1
4,44,2 -> 1
4,45,2 -> 1
4,46,2 -> 1
4,47,2 -> 1
4,48,2 -> 1
4,49,2 -> 1
4,50,2 -> 1
4,51,2 -> 1
4,52,2 -> 1
4,53,2 -> 1
4,54,2 -> 1
4,55,2 -> 1
4,56,2 -> 1
4,57,2 -> 1
4,58,2 -> 1
4,59,2 -> 1
4,60,2 -> 1
4,61,2 -> 1
4,62,2 -> 1
4,63,2 -> 1
4,64,2 -> 1
4,65,2 -> 1
4,66,2 -> 1
4,67,2 -> 1
4,68,2 -> 1
4,69,2 -> 1
4,70,2 -> 1
4,71,2 -> 1
5,0,1 -> 0.375
5,0,0 -> 0.625
5,1,1 -> 0.375
5,1,0 -> 0.625
5,2,1 -> 0.375
5,2,0 -> 0.625
5,3,1 -> 0.375
5,3,0 -> 0.625
5,4,1 -> 0.625
5,4,0 -> 0.375
5,5,1 -> 0.625
5,5,0 -> 0.375
5,6,1 -> 0.625
5,6,0 -> 0.375
5,7,1 -> 0.625
5,7,0 -> 0.375
5,8,1 -> 0.393868
5,8,0 -> 0.606132
5,9,1 -> 0.393868
5,9,0 -> 0.606132
5,10,1 -> 0.393868
5,10,0 -> 0.606132
5,11,1 -> 0.393868
5,11,0 -> 0.606132
5,12,1 -> 0.606132
5,12,0 -> 0.393868
5,13,1 -> 0.606132
5,13,0 -> 0.393868
5,14,1 -> 0.606132
5,14,0 -> 0.393868
5,15,1 -> 0.606132
5,15,0 -> 0.393868
5,16,1 -> 0.429607
5,16,0 -> 0.570393
5,17,1 -> 0.429607
5,17,0 -> 0.570393
5,18,1 -> 0.429607
5,18,0 -> 0.570393
5,19,1 -> 0.429607
5,19,0 -> 0.570393
5,20,1 -> 0.570393
5,20,0 -> 0.429607
5,21,1 -> 0.570393
5,21,0 -> 0.429607
5,22,1 -> 0.570393
5,22,0 -> 0.429607
5,23,1 -> 0.570393
5,23,0 -> 0.429607
5,24,1 -> 0.25
5,24,0 -> 0.75
5,25,1 -> 0.25
5,25,0 -> 0.75
5,26,1 -> 0.25
5,26,0 -> 0.75
5,27,1 -> 0.25
5,27,0 -> 0.75
5,28,1 -> 0.75
5,28,0 -> 0.25
5,29,1 -> 0.75
5,29,0 -> 0.25
5,30,1 -> 0.75
5,30,0 -> 0.25
5,31,1 -> 0.75
5,31,0 -> 0.25
5,32,1 -> 0.312393
5,32,0 -> 0.687607
5,33,1 -> 0.312393
5,33,0 -> 0.687607
5,34,1 -> 0.312393
5,34,0 -> 0.687607
5,35,1 -> 0.312393
5,35,0 -> 0.687607
5,36,1 -> 0.687607
5,36,0 -> 0.312393
5,37,1 -> 0.687607
5,37,0 -> 0.312393
5,38,1 -> 0.687607
