37, [s0.0-b.b, s0.0-b.g, s0.0-g.b, s0.0-g.g, s0.1-b.b, s0.1-b.g, s0.1-g.b, s0.1-g.g, s0.2-b.b, s0.2-b.g, s0.2-g.b, s0.2-g.g, s1.0-b.b, s1.0-b.g, s1.0-g.b, s1.0-g.g, s1.1-b.b, s1.1-b.g, s1.1-g.b, s1.1-g.g, s1.2-b.b, s1.2-b.g, s1.2-g.b, s1.2-g.g, s2.0-b.b, s2.0-b.g, s2.0-g.b, s2.0-g.g, s2.1-b.b, s2.1-b.g, s2.1-g.b, s2.1-g.g, s2.2-b.b, s2.2-b.g, s2.2-g.b, s2.2-g.g, exit]
3, [e-ggb, e-gbg, e-bgg]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

90, [pt_0.0, pt_0.1, pt_1.0, pt_1.1, pt_2.0, pt_2.1, po_0.00_0, po_0.00_1, po_0.00_2, po_0.00_3, po_0.00_4, po_0.00_5, po_0.01_0, po_0.01_1, po_0.01_2, po_0.01_3, po_0.01_4, po_0.01_5, po_0.10_0, po_0.10_1, po_0.10_2, po_0.10_3, po_0.10_4, po_0.10_5, po_0.11_0, po_0.11_1, po_0.11_2, po_0.11_3, po_0.11_4, po_0.11_5, po_1.00_0, po_1.00_1, po_1.00_2, po_1.00_3, po_1.00_4, po_1.00_5, po_1.01_0, po_1.01_1, po_1.01_2, po_1.01_3, po_1.01_4, po_1.01_5, po_1.10_0, po_1.10_1, po_1.10_2, po_1.10_3, po_1.10_4, po_1.10_5, po_1.11_0, po_1.11_1, po_1.11_2, po_1.11_3, po_1.11_4, po_1.11_5, po_2.00_0, po_2.00_1, po_2.00_2, po_2.00_3, po_2.00_4, po_2.00_5, po_2.01_0, po_2.01_1, po_2.01_2, po_2.01_3, po_2.01_4, po_2.01_5, po_2.10_0, po_2.10_1, po_2.10_2, po_2.10_3, po_2.10_4, po_2.10_5, po_2.11_0, po_2.11_1, po_2.11_2, po_2.11_3, po_2.11_4, po_2.11_5, r_0.00, r_0.01, r_0.10, r_0.11, r_1.00, r_1.01, r_1.10, r_1.11, r_2.00, r_2.01, r_2.10, r_2.11]
[1, 0, 0, 1, 0, 0, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, -10, -10, 10, 10, -10, 10, -10, 10, -10, -10, -10, -10]
[1, 0, 0, 0, 0, 1, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, -10, -10, 10, 10, -10, -10, -10, -10, -10, 10, -10, 10]
[0, 0, 1, 0, 0, 1, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, -10, -10, -10, -10, -10, -10, 10, 10, -10, 10, -10, 10]

# Transition function (s,a,s -> p)
27,5,27 -> 1
24,6,24 -> 1
25,6,25 -> 1
26,6,26 -> 1
27,6,27 -> 1
24,7,24 -> 1
25,7,25 -> 1
26,7,26 -> 1
27,7,27 -> 1
28,0,28 -> 1
28,1,16 -> 1
28,2,32 -> 1
28,3,24 -> 1
29,0,29 -> 1
29,1,17 -> 1
29,2,33 -> 1
29,3,25 -> 1
30,0,30 -> 1
30,1,18 -> 1
30,2,34 -> 1
30,3,26 -> 1
31,0,31 -> 1
31,1,19 -> 1
31,2,35 -> 1
31,3,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
30,5,30 -> 1
31,5,31 -> 1
28,6,28 -> 1
29,6,29 -> 1
30,6,30 -> 1
31,6,31 -> 1
28,7,28 -> 1
29,7,29 -> 1
30,7,30 -> 1
31,7,31 -> 1
32,0,32 -> 1
32,1,20 -> 1
32,2,36 -> 1
32,3,28 -> 1
33,0,33 -> 1
33,1,21 -> 1
33,2,36 -> 1
33,3,29 -> 1
34,0,34 -> 1
34,1,22 -> 1
34,2,36 -> 1
34,3,30 -> 1
35,0,35 -> 1
35,1,23 -> 1
35,2,36 -> 1
35,3,31 -> 1
32,5,32 -> 1
33,5,33 -> 1
34,5,34 -> 1
35,5,35 -> 1
32,6,32 -> 1
33,6,33 -> 1
34,6,34 -> 1
35,6,35 -> 1
32,7,32 -> 1
33,7,33 -> 1
34,7,34 -> 1
35,7,35 -> 1
36,_,36 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
0,16,2 -> 1
0,17,2 -> 1
0,18,2 -> 1
0,19,2 -> 1
0,20,2 -> 1
0,21,2 -> 1
0,22,2 -> 1
0,23,2 -> 1
0,24,2 -> 1
0,25,2 -> 1
0,26,2 -> 1
0,27,2 -> 1
0,28,2 -> 1
0,29,2 -> 1
0,30,2 -> 1
0,31,2 -> 1
0,32,2 -> 1
0,33,2 -> 1
0,34,2 -> 1
0,35,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
1,16,2 -> 1
1,17,2 -> 1
1,18,2 -> 1
1,19,2 -> 1
1,20,2 -> 1
1,21,2 -> 1
1,22,2 -> 1
1,23,2 -> 1
1,24,2 -> 1
1,25,2 -> 1
1,26,2 -> 1
1,27,2 -> 1
1,28,2 -> 1
1,29,2 -> 1
1,30,2 -> 1
1,31,2 -> 1
1,32,2 -> 1
1,33,2 -> 1
1,34,2 -> 1
1,35,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
2,16,2 -> 1
2,17,2 -> 1
2,18,2 -> 1
2,19,2 -> 1
2,20,2 -> 1
2,21,2 -> 1
2,22,2 -> 1
2,23,2 -> 1
2,24,2 -> 1
2,25,2 -> 1
2,26,2 -> 1
2,27,2 -> 1
2,28,2 -> 1
2,29,2 -> 1
2,30,2 -> 1
2,31,2 -> 1
2,32,2 -> 1
2,33,2 -> 1
2,34,2 -> 1
2,35,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
3,16,2 -> 1
3,17,2 -> 1
3,18,2 -> 1
3,19,2 -> 1
3,20,2 -> 1
3,21,2 -> 1
3,22,2 -> 1
3,23,2 -> 1
3,24,2 -> 1
3,25,2 -> 1
3,26,2 -> 1
3,27,2 -> 1
3,28,2 -> 1
3,29,2 -> 1
3,30,2 -> 1
3,31,2 -> 1
3,32,2 -> 1
3,33,2 -> 1
3,34,2 -> 1
3,35,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
4,16,2 -> 1
4,17,2 -> 1
4,18,2 -> 1
4,19,2 -> 1
4,20,2 -> 1
4,21,2 -> 1
4,22,2 -> 1
4,23,2 -> 1
4,24,2 -> 1
4,25,2 -> 1
4,26,2 -> 1
4,27,2 -> 1
4,28,2 -> 1
4,29,2 -> 1
4,30,2 -> 1
4,31,2 -> 1
4,32,2 -> 1
4,33,2 -> 1
4,34,2 -> 1
4,35,2 -> 1
5,0,1 -> po_0.00_0
5,0,0 -> 1-po_0.00_0
5,1,1 -> po_0.01_0
5,1,0 -> 1-po_0.01_0
5,2,1 -> po_0.10_0
5,2,0 -> 1-po_0.10_0
5,3,1 -> po_0.11_0
5,3,0 -> 1-po_0.11_0
5,4,1 -> po_0.00_1
5,4,0 -> 1-po_0.00_1
5,5,1 -> po_0.01_1
5,5,0 -> 1-po_0.01_1
5,6,1 -> po_0.10_1
5,6,0 -> 1-po_0.10_1
5,7,1 -> po_0.11_1
5,7,0 -> 1-po_0.11_1
5,8,1 -> po_0.00_0
5,8,0 -> 1-po_0.00_0
5,9,1 -> po_0.01_0
5,9,0 -> 1-po_0.01_0
5,10,1 -> po_0.10_0
5,10,0 -> 1-po_0.10_0
5,11,1 -> po_0.11_0
5,11,0 -> 1-po_0.11_0
5,12,1 -> po_0.00_2
5,12,0 -> 1-po_0.00_2
5,13,1 -> po_0.01_2
5,13,0 -> 1-po_0.01_2
5,14,1 -> po_0.10_2
5,14,0 -> 1-po_0.10_2
5,15,1 -> po_0.11_2
5,15,0 -> 1-po_0.11_2
5,16,1 -> po_0.00_0
5,16,0 -> 1-po_0.00_0
5,17,1 -> po_0.01_0
5,17,0 -> 1-po_0.01_0
5,18,1 -> po_0.10_0
5,18,0 -> 1-po_0.10_0
5,19,1 -> po_0.11_0
5,19,0 -> 1-po_0.11_0
5,20,1 -> po_0.00_2
5,20,0 -> 1-po_0.00_2
5,21,1 -> po_0.01_2
5,21,0 -> 1-po_0.01_2
5,22,1 -> po_0.10_2
5,22,0 -> 1-po_0.10_2
5,23,1 -> po_0.11_2
5,23,0 -> 1-po_0.11_2
5,24,1 -> po_0.00_3
5,24,0 -> 1-po_0.00_3
5,25,1 -> po_0.01_3
5,25,0 -> 1-po_0.01_3
5,26,1 -> po_0.10_3
5,26,0 -> 1-po_0.10_3
5,27,1 -> po_0.11_3
5,27,0 -> 1-po_0.11_3
5,28,1 -> po_0.00_4
5,28,0 -> 1-po_0.00_4
5,29,1 -> po_0.01_4
5,29,0 -> 1-po_0.01_4
5,30,1 -> po_0.10_4
5,30,0 -> 1-po_0.10_4
5,31,1 -> po_0.11_4
5,31,0 -> 1-po_0.11_4
5,32,1 -> po_0.00_3
5,32,0 -> 1-po_0.00_3
5,33,1 -> po_0.01_3
5,33,0 -> 1-po_0.01_3
5,34,1 -> po_0.10_3
5,34,0 -> 1-po_0.10_3
5,35,1 -> po_0.11_3
5,35,0 -> 1-po_0.11_3
6,0,1 -> po_1.00_4
6,0,0 -> 1-po_1.00_4
6,1,1 -> po_1.01_4
6,1,0 -> 1-po_1.01_4
6,2,1 -> po_1.10_4
6,2,0 -> 1-po_1.10_4
6,3,1 -> po_1.11_4
6,3,0 -> 1-po_1.11_4
6,4,1 -> po_1.00_0
6,4,0 -> 1-po_1.00_0
6,5,1 -> po_1.01_0
6,5,0 -> 1-po_1.01_0
6,6,1 -> po_1.10_0
6,6,0 -> 1-po_1.10_0
6,7,1 -> po_1.11_0
6,7,0 -> 1-po_1.11_0
6,8,1 -> po_1.00_1
6,8,0 -> 1-po_1.00_1
6,9,1 -> po_1.01_1
6,9,0 -> 1-po_1.01_1
6,10,1 -> po_1.10_1
6,10,0 -> 1-po_1.10_1
6,11,1 -> po_1.11_1
6,11,0 -> 1-po_1.11_1
6,12,1 -> po_1.00_3
6,12,0 -> 1-po_1.00_3
6,13,1 -> po_1.01_3
6,13,0 -> 1-po_1.01_3
6,14,1 -> po_1.10_3
6,14,0 -> 1-po_1.10_3
6,15,1 -> po_1.11_3
6,15,0 -> 1-po_1.11_3
6,16,1 -> po_1.00_2
6,16,0 -> 1-po_1.00_2
6,17,1 -> po_1.01_2
6,17,0 -> 1-po_1.01_2
6,18,1 -> po_1.10_2
6,18,0 -> 1-po_1.10_2
6,19,1 -> po_1.11_2
6,19,0 -> 1-po_1.11_2
6,20,1 -> po_1.00_0
6,20,0 -> 1-po_1.00_0
6,21,1 -> po_1.01_0
6,21,0 -> 1-po_1.01_0
6,22,1 -> po_1.10_0
6,22,0 -> 1-po_1.10_0
6,23,1 -> po_1.11_0
6,23,0 -> 1-po_1.11_0
6,24,1 -> po_1.00_5
6,24,0 -> 1-po_1.00_5
6,25,1 -> po_1.01_5
6,25,0 -> 1-po_1.01_5
6,26,1 -> po_1.10_5
6,26,0 -> 1-po_1.10_5
6,27,1 -> po_1.11_5
6,27,0 -> 1-po_1.11_5
6,28,1 -> po_1.00_3
6,28,0 -> 1-po_1.00_3
6,29,1 -> po_1.01_3
6,29,0 -> 1-po_1.01_3
6,30,1 -> po_1.10_3
6,30,0 -> 1-po_1.10_3
6,31,1 -> po_1.11_3
6,31,0 -> 1-po_1.11_3
6,32,1 -> po_1.00_4
6,32,0 -> 1-po_1.00_4
6,33,1 -> po_1.01_4
6,33,0 -> 1-po_1.01_4
6,34,1 -> po_1.10_4
6,34,0 -> 1-po_1.10_4
6,35,1 -> po_1.11_4
6,35,0 -> 1-po_1.11_4
7,0,1 -> po_2.00_2
7,0,0 -> 1-po_2.00_2
7,1,1 -> po_2.01_2
7,1,0 -> 1-po_2.01_2
7,2,1 -> po_2.10_2
7,2,0 -> 1-po_2.10_2
7,3,1 -> po_2.11_2
7,3,0 -> 1-po_2.11_2
7,4,1 -> po_2.00_0
7,4,0 -> 1-po_2.00_0
7,5,1 -> po_2.01_0
7,5,0 -> 1-po_2.01_0
7,6,1 -> po_2.10_0
7,6,0 -> 1-po_2.10_0
7,7,1 -> po_2.11_0
7,7,0 -> 1-po_2.11_0
7,8,1 -> po_2.00_2
7,8,0 -> 1-po_2.00_2
7,9,1 -> po_2.01_2
7,9,0 -> 1-po_2.01_2
7,10,1 -> po_2.10_2
7,10,0 -> 1-po_2.10_2
7,11,1 -> po_2.11_2
7,11,0 -> 1-po_2.11_2
7,12,1 -> po_2.00_0
7,12,0 -> 1-po_2.00_0
7,13,1 -> po_2.01_0
7,13,0 -> 1-po_2.01_0
7,14,1 -> po_2.10_0
7,14,0 -> 1-po_2.10_0
7,15,1 -> po_2.11_0
7,15,0 -> 1-po_2.11_0
7,16,1 -> po_2.00_1
7,16,0 -> 1-po_2.00_1
7,17,1 -> po_2.01_1
7,17,0 -> 1-po_2.01_1
7,18,1 -> po_2.10_1
7,18,0 -> 1-po_2.10_1
7,19,1 -> po_2.11_1
7,19,0 -> 1-po_2.11_1
7,20,1 -> po_2.00_0
7,20,0 -> 1-po_2.00_0
7,21,1 -> po_2.01_0
7,21,0 -> 1-po_2.01_0
7,22,1 -> po_2.10_0
7,22,0 -> 1-po_2.10_0
7,23,1 -> po_2.11_0
7,23,0 -> 1-po_2.11_0
7,24,1 -> po_2.00_2
7,24,0 -> 1-po_2.00_2
7,25,1 -> po_2.01_2
7,25,0 -> 1-po_2.01_2
7,26,1 -> po_2.10_2
7,26,0 -> 1-po_2.10_2
7,27,1 -> po_2.11_2
7,27,0 -> 1-po_2.11_2
7,28,1 -> po_2.00_0
7,28,0 -> 1-po_2.00_0
7,29,1 -> po_2.01_0
7,29,0 -> 1-po_2.01_0
7,30,1 -> po_2.10_0
7,30,0 -> 1-po_2.10_0
7,31,1 -> po_2.11_0
7,31,0 -> 1-po_2.11_0
7,32,1 -> po_2.00_2
7,32,0 -> 1-po_2.00_2
7,33,1 -> po_2.01_2
7,33,0 -> 1-po_2.01_2
7,34,1 -> po_2.10_2
7,34,0 -> 1-po_2.10_2
7,35,1 -> po_2.11_2
7,35,0 -> 1-po_2.11_2
_,36,2 -> 1

# Reward function (s,a -> r)
4,4 -> r_0.00
5,4 -> r_0.01
6,4 -> r_0.10
7,4 -> r_0.11
8,4 -> r_1.00
9,4 -> r_1.01
10,4 -> r_1.10
11,4 -> r_1.11
