17, [s0.0-b.b, s0.0-b.g, s0.0-g.b, s0.0-g.g, s0.1-b.b, s0.1-b.g, s0.1-g.b, s0.1-g.g, s1.0-b.b, s1.0-b.g, s1.0-g.b, s1.0-g.g, s1.1-b.b, s1.1-b.g, s1.1-g.b, s1.1-g.g, exit]
3, [e-ggb, e-gbg, e-bgg]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

54, [pt_0.0, pt_0.1, pt_1.0, pt_1.1, pt_2.0, pt_2.1, po_0.00_0, po_0.00_1, po_0.00_2, po_0.01_0, po_0.01_1, po_0.01_2, po_0.10_0, po_0.10_1, po_0.10_2, po_0.11_0, po_0.11_1, po_0.11_2, po_1.00_0, po_1.00_1, po_1.00_2, po_1.01_0, po_1.01_1, po_1.01_2, po_1.10_0, po_1.10_1, po_1.10_2, po_1.11_0, po_1.11_1, po_1.11_2, po_2.00_0, po_2.00_1, po_2.00_2, po_2.01_0, po_2.01_1, po_2.01_2, po_2.10_0, po_2.10_1, po_2.10_2, po_2.11_0, po_2.11_1, po_2.11_2, r_0.00, r_0.01, r_0.10, r_0.11, r_1.00, r_1.01, r_1.10, r_1.11, r_2.00, r_2.01, r_2.10, r_2.11]
[1, 0, 0, 1, 0, 0, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, -10, -10, 10, 10, -10, 10, -10, 10, -10, -10, -10, -10]
[1, 0, 0, 0, 0, 1, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, -10, -10, 10, 10, -10, -10, -10, -10, -10, 10, -10, 10]
[0, 0, 1, 0, 0, 1, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, -10, -10, -10, -10, -10, -10, 10, 10, -10, 10, -10, 10]

# Transition function (s,a,s -> p)
13,4,12 -> pt_2.1
13,4,13 -> 1-pt_2.1
14,4,12 -> pt_2.0
14,4,14 -> 1-pt_2.0
15,4,13 -> pt_2.0
15,4,12 -> pt_2.1
15,4,15 -> 1-pt_2.0-pt_2.1
12,5,12 -> 1
13,5,13 -> 1
14,5,14 -> 1
15,5,15 -> 1
12,6,12 -> 1
13,6,13 -> 1
14,6,14 -> 1
15,6,15 -> 1
12,7,12 -> 1
13,7,13 -> 1
14,7,14 -> 1
15,7,15 -> 1
16,_,16 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
0,8,2 -> 1
0,9,2 -> 1
0,10,2 -> 1
0,11,2 -> 1
0,12,2 -> 1
0,13,2 -> 1
0,14,2 -> 1
0,15,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
1,8,2 -> 1
1,9,2 -> 1
1,10,2 -> 1
1,11,2 -> 1
1,12,2 -> 1
1,13,2 -> 1
1,14,2 -> 1
1,15,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
2,8,2 -> 1
2,9,2 -> 1
2,10,2 -> 1
2,11,2 -> 1
2,12,2 -> 1
2,13,2 -> 1
2,14,2 -> 1
2,15,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
3,8,2 -> 1
3,9,2 -> 1
3,10,2 -> 1
3,11,2 -> 1
3,12,2 -> 1
3,13,2 -> 1
3,14,2 -> 1
3,15,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
4,8,2 -> 1
4,9,2 -> 1
4,10,2 -> 1
4,11,2 -> 1
4,12,2 -> 1
4,13,2 -> 1
4,14,2 -> 1
4,15,2 -> 1
5,0,1 -> po_0.00_0
5,0,0 -> 1-po_0.00_0
5,1,1 -> po_0.01_0
5,1,0 -> 1-po_0.01_0
5,2,1 -> po_0.10_0
5,2,0 -> 1-po_0.10_0
5,3,1 -> po_0.11_0
5,3,0 -> 1-po_0.11_0
5,4,1 -> po_0.00_1
5,4,0 -> 1-po_0.00_1
5,5,1 -> po_0.01_1
5,5,0 -> 1-po_0.01_1
5,6,1 -> po_0.10_1
5,6,0 -> 1-po_0.10_1
5,7,1 -> po_0.11_1
5,7,0 -> 1-po_0.11_1
5,8,1 -> po_0.00_2
5,8,0 -> 1-po_0.00_2
5,9,1 -> po_0.01_2
5,9,0 -> 1-po_0.01_2
5,10,1 -> po_0.10_2
5,10,0 -> 1-po_0.10_2
5,11,1 -> po_0.11_2
5,11,0 -> 1-po_0.11_2
5,12,1 -> po_0.00_0
5,12,0 -> 1-po_0.00_0
5,13,1 -> po_0.01_0
5,13,0 -> 1-po_0.01_0
5,14,1 -> po_0.10_0
5,14,0 -> 1-po_0.10_0
5,15,1 -> po_0.11_0
5,15,0 -> 1-po_0.11_0
6,0,1 -> po_1.00_0
6,0,0 -> 1-po_1.00_0
6,1,1 -> po_1.01_0
6,1,0 -> 1-po_1.01_0
6,2,1 -> po_1.10_0
6,2,0 -> 1-po_1.10_0
6,3,1 -> po_1.11_0
6,3,0 -> 1-po_1.11_0
6,4,1 -> po_1.00_2
6,4,0 -> 1-po_1.00_2
6,5,1 -> po_1.01_2
6,5,0 -> 1-po_1.01_2
6,6,1 -> po_1.10_2
6,6,0 -> 1-po_1.10_2
6,7,1 -> po_1.11_2
6,7,0 -> 1-po_1.11_2
6,8,1 -> po_1.00_1
6,8,0 -> 1-po_1.00_1
6,9,1 -> po_1.01_1
6,9,0 -> 1-po_1.01_1
6,10,1 -> po_1.10_1
6,10,0 -> 1-po_1.10_1
6,11,1 -> po_1.11_1
6,11,0 -> 1-po_1.11_1
6,12,1 -> po_1.00_0
6,12,0 -> 1-po_1.00_0
6,13,1 -> po_1.01_0
6,13,0 -> 1-po_1.01_0
6,14,1 -> po_1.10_0
6,14,0 -> 1-po_1.10_0
6,15,1 -> po_1.11_0
6,15,0 -> 1-po_1.11_0
7,0,1 -> po_2.00_2
7,0,0 -> 1-po_2.00_2
7,1,1 -> po_2.01_2
7,1,0 -> 1-po_2.01_2
7,2,1 -> po_2.10_2
7,2,0 -> 1-po_2.10_2
7,3,1 -> po_2.11_2
7,3,0 -> 1-po_2.11_2
7,4,1 -> po_2.00_0
7,4,0 -> 1-po_2.00_0
7,5,1 -> po_2.01_0
7,5,0 -> 1-po_2.01_0
7,6,1 -> po_2.10_0
7,6,0 -> 1-po_2.10_0
7,7,1 -> po_2.11_0
7,7,0 -> 1-po_2.11_0
7,8,1 -> po_2.00_0
7,8,0 -> 1-po_2.00_0
7,9,1 -> po_2.01_0
7,9,0 -> 1-po_2.01_0
7,10,1 -> po_2.10_0
7,10,0 -> 1-po_2.10_0
7,11,1 -> po_2.11_0
7,11,0 -> 1-po_2.11_0
7,12,1 -> po_2.00_1
7,12,0 -> 1-po_2.00_1
7,13,1 -> po_2.01_1
7,13,0 -> 1-po_2.01_1
7,14,1 -> po_2.10_1
7,14,0 -> 1-po_2.10_1
7,15,1 -> po_2.11_1
7,15,0 -> 1-po_2.11_1
_,16,2 -> 1

# Reward function (s,a -> r)
4,4 -> r_0.00
5,4 -> r_0.01
6,4 -> r_0.10
7,4 -> r_0.11
4,2 -> 10
5,2 -> 10
6,2 -> 10
7,2 -> 10
8,4 -> r_1.00
9,4 -> r_1.01
10,4 -> r_1.10
11,4 -> r_1.11
12,4 -> r_2.00
13,4 -> r_2.01
14,4 -> r_2.10
15,4 -> r_2.11
12,2 -> 10
13,2 -> 10
14,2 -> 10
15,2 -> 10

# Initial beliefs (s -> p)
3 -> 1
